credit_id,client_id,amount,duration,status,collateral_type,collateral_value
CR_61,679,500.0,12,Active,Real Estate,474.24
CR_62,867,1000.0,12,Closed,None,0.0
CR_63,931,5000.0,36,Default,None,0.0
CR_64,194,50000.0,12,Closed,Deposit,66084.62
CR_65,127,,36,Active,None,0.0
CR_66,259,,60,Active,None,0.0
CR_67,316,25000.0,36,Active,None,0.0
CR_68,860,1000.0,60,Closed,None,0.0
CR_69,185,25000.0,24,Closed,None,0.0
CR_70,61,10000.0,60,Active,Deposit,6565.71
CR_71,63,5000.0,6,Closed,Real Estate,2921.69
CR_72,200,25000.0,6,Active,Real Estate,33386.29
CR_73,502,50000.0,36,Closed,Car,25521.37
CR_74,134,5000.0,24,Active,Deposit,5496.52
CR_75,312,50000.0,24,Closed,Car,51369.77
CR_76,643,1000.0,60,Active,Real Estate,1270.59
CR_77,409,500.0,12,Active,Deposit,699.58
CR_78,12,,36,Closed,Deposit,0.0
CR_79,21,500.0,6,Closed,Deposit,515.02
CR_80,494,10000.0,6,Closed,Real Estate,7561.81
CR_81,496,5000.0,24,Active,Real Estate,6117.11
CR_82,927,1000.0,6,Default,Deposit,1150.74
CR_83,437,10000.0,36,Active,Car,9300.97
CR_84,284,10000.0,24,Closed,Deposit,6484.95
CR_85,918,,60,Default,Car,0.0
CR_86,589,10000.0,6,Closed,None,0.0
CR_87,529,25000.0,60,Closed,None,0.0
CR_88,925,5000.0,24,Active,Real Estate,6997.29
CR_89,452,50000.0,24,Closed,Real Estate,50978.17
CR_90,144,500.0,36,Closed,None,0.0
CR_91,475,,60,Closed,Deposit,0.0
CR_92,533,25000.0,60,Active,Deposit,36745.7
CR_93,774,500.0,12,Closed,None,0.0
CR_94,779,50000.0,60,Closed,Deposit,47392.06
CR_95,476,1000.0,36,Closed,Car,916.22
CR_96,121,10000.0,60,Active,Car,11232.7
CR_97,465,500.0,60,Closed,Car,649.03
CR_98,521,25000.0,36,Active,Deposit,22528.54
CR_99,531,50000.0,6,Active,None,0.0
CR_100,577,,24,Active,None,0.0
CR_101,531,1000.0,6,Default,Deposit,868.91
CR_102,634,10000.0,24,Default,Car,9648.01
CR_103,176,500.0,12,Closed,Deposit,324.72
CR_104,943,50000.0,12,Active,None,0.0
CR_105,429,25000.0,6,Default,Real Estate,32123.87
CR_106,793,5000.0,36,Closed,Car,6253.4
CR_107,100,10000.0,60,Default,Car,11459.23
CR_108,27,25000.0,36,Default,None,0.0
CR_109,24,50000.0,24,Closed,Deposit,59301.87
CR_110,285,25000.0,60,Default,Deposit,34499.09
CR_111,18,500.0,24,Default,Car,307.71
CR_112,71,,36,Closed,None,0.0
CR_113,822,1000.0,24,Default,Real Estate,645.58
CR_114,693,500.0,24,Active,Deposit,674.71
CR_115,549,500.0,12,Default,Deposit,552.09
CR_116,422,500.0,60,Closed,Car,744.72
CR_117,224,25000.0,36,Active,Real Estate,29965.91
CR_118,444,10000.0,60,Closed,None,0.0
CR_119,649,500.0,24,Default,Car,653.21
CR_120,490,1000.0,36,Closed,Deposit,605.62
CR_121,904,50000.0,12,Closed,Real Estate,55049.97
CR_122,954,10000.0,6,Default,Deposit,8070.14
CR_123,814,25000.0,24,Active,Car,17740.64
CR_124,183,50000.0,6,Closed,Deposit,47342.71
CR_125,288,50000.0,60,Closed,Real Estate,52577.12
CR_126,742,500.0,60,Default,Real Estate,528.73
CR_127,490,1000.0,24,Default,None,0.0
CR_128,913,10000.0,60,Closed,Car,14492.93
CR_129,927,25000.0,24,Default,Car,27922.91
CR_130,467,5000.0,12,Default,None,0.0
CR_131,690,500.0,24,Active,Car,490.02
CR_132,589,5000.0,24,Closed,Real Estate,3154.54
CR_133,179,10000.0,6,Closed,Real Estate,11576.56
CR_134,796,50000.0,12,Closed,Car,51226.02
CR_135,279,50000.0,36,Default,Real Estate,39637.58
CR_136,614,,24,Closed,Deposit,0.0
CR_137,951,500.0,36,Active,Deposit,729.07
CR_138,520,1000.0,60,Active,None,0.0
CR_139,145,1000.0,36,Active,Deposit,744.19
CR_140,574,50000.0,6,Active,None,0.0
CR_141,637,5000.0,24,Closed,Car,3392.66
CR_142,307,500.0,12,Active,Car,474.67
CR_143,967,5000.0,12,Closed,Real Estate,6701.76
CR_144,77,5000.0,6,Closed,Car,4860.67
CR_145,570,5000.0,24,Active,Car,5702.61
CR_146,850,10000.0,6,Active,Deposit,9533.59
CR_147,803,5000.0,12,Closed,None,0.0
CR_148,57,1000.0,36,Default,Real Estate,1377.09
CR_149,29,10000.0,36,Active,Real Estate,5464.84
CR_150,410,25000.0,60,Default,None,0.0
CR_151,831,50000.0,12,Active,Real Estate,31443.1
CR_152,29,5000.0,24,Active,Car,5478.88
CR_153,210,,6,Default,Car,0.0
CR_154,109,500.0,36,Active,None,0.0
CR_155,172,,24,Default,Deposit,0.0
CR_156,359,1000.0,36,Active,Real Estate,657.77
CR_157,311,50000.0,12,Active,Real Estate,62520.37
CR_158,27,1000.0,36,Closed,None,0.0
CR_159,571,500.0,6,Default,Car,504.73
CR_160,450,10000.0,36,Closed,Real Estate,9195.5
CR_161,475,5000.0,12,Active,Car,6028.89
CR_162,792,5000.0,24,Default,None,0.0
CR_163,156,500.0,12,Closed,None,0.0
CR_164,34,50000.0,12,Active,Deposit,50593.31
CR_165,15,10000.0,12,Default,Real Estate,8977.7
CR_166,169,500.0,60,Active,Real Estate,470.54
CR_167,690,10000.0,60,Closed,None,0.0
CR_168,559,500.0,6,Closed,None,0.0
CR_169,358,5000.0,24,Active,None,0.0
CR_170,216,50000.0,24,Active,None,0.0
CR_171,966,,6,Closed,Car,0.0
CR_172,716,25000.0,36,Active,None,0.0
CR_173,151,5000.0,6,Active,Deposit,4300.02
CR_174,518,50000.0,60,Closed,Deposit,68313.84
CR_175,815,1000.0,12,Default,Real Estate,1438.17
CR_176,432,5000.0,6,Closed,None,0.0
CR_177,642,500.0,24,Closed,Deposit,531.75
CR_178,481,10000.0,12,Default,None,0.0
CR_179,508,500.0,60,Active,Deposit,254.47
CR_180,464,10000.0,36,Active,Deposit,13260.35
CR_181,372,1000.0,12,Closed,None,0.0
CR_182,832,,60,Closed,Car,0.0
CR_183,169,500.0,36,Active,Deposit,519.72
CR_184,722,25000.0,36,Default,None,0.0
CR_185,441,50000.0,6,Default,Car,74066.97
CR_186,650,50000.0,60,Closed,None,0.0
CR_187,856,1000.0,60,Active,Deposit,1091.15
CR_188,946,500.0,24,Default,Deposit,568.74
CR_189,364,50000.0,36,Default,Real Estate,54918.54
CR_190,179,,6,Closed,None,0.0
CR_191,473,50000.0,24,Active,Car,72386.45
CR_192,603,50000.0,36,Closed,None,0.0
CR_193,991,25000.0,60,Default,Real Estate,29456.23
CR_194,578,5000.0,36,Closed,Deposit,2535.36
CR_195,632,10000.0,60,Active,Car,9082.48
CR_196,502,1000.0,6,Active,Real Estate,818.87
CR_197,221,25000.0,6,Active,Car,20006.97
CR_198,280,,36,Active,Deposit,0.0
CR_199,101,10000.0,24,Default,Deposit,11521.7
CR_200,488,,6,Closed,None,0.0
CR_201,396,500.0,36,Active,None,0.0
CR_202,492,,24,Closed,Deposit,0.0
CR_203,809,25000.0,36,Default,Car,33210.36
CR_204,835,50000.0,6,Active,None,0.0
CR_205,672,,36,Active,Deposit,0.0
CR_206,964,1000.0,36,Default,None,0.0
CR_207,280,10000.0,60,Default,Deposit,7905.3
CR_208,653,,60,Closed,Car,0.0
CR_209,232,5000.0,36,Default,Car,3429.04
CR_210,151,500.0,24,Closed,None,0.0
CR_211,400,500.0,6,Default,Car,639.51
CR_212,577,25000.0,12,Closed,Real Estate,23349.29
CR_213,974,5000.0,12,Default,Deposit,6868.0
CR_214,509,500.0,60,Default,None,0.0
CR_215,314,50000.0,12,Default,Real Estate,58570.46
CR_216,624,25000.0,36,Default,Deposit,32719.55
CR_217,242,,60,Active,Car,0.0
CR_218,261,500.0,12,Default,Deposit,356.67
CR_219,38,25000.0,12,Closed,Deposit,22776.17
CR_220,401,10000.0,24,Closed,Car,6660.03
CR_221,474,10000.0,24,Active,Real Estate,6855.53
CR_222,981,,12,Default,Real Estate,0.0
CR_223,90,25000.0,60,Closed,Car,23829.92
CR_224,12,1000.0,24,Closed,Real Estate,1234.82
CR_225,296,1000.0,60,Default,Deposit,1153.44
CR_226,88,50000.0,12,Closed,Car,30114.82
CR_227,62,50000.0,12,Active,Car,33608.2
CR_228,103,1000.0,12,Default,Deposit,1495.22
CR_229,114,,60,Active,None,0.0
CR_230,811,50000.0,24,Default,None,0.0
CR_231,783,500.0,12,Default,Deposit,712.29
CR_232,566,,36,Default,Deposit,0.0
CR_233,558,10000.0,60,Active,Car,12256.82
CR_234,203,10000.0,12,Closed,Car,6082.45
CR_235,207,5000.0,36,Active,Deposit,6284.59
CR_236,672,25000.0,6,Closed,Real Estate,13943.72
CR_237,355,50000.0,24,Closed,Real Estate,28766.81
CR_238,492,10000.0,24,Closed,Real Estate,14174.83
CR_239,906,25000.0,12,Closed,Real Estate,36505.41
CR_240,795,,60,Active,Real Estate,0.0
CR_241,857,10000.0,36,Default,None,0.0
CR_242,734,,6,Closed,Car,0.0
CR_243,710,500.0,24,Default,Deposit,531.88
CR_244,60,25000.0,12,Closed,None,0.0
CR_245,136,500.0,60,Closed,Deposit,458.15
CR_246,952,1000.0,6,Active,None,0.0
CR_247,925,10000.0,6,Default,Car,12461.24
CR_248,861,500.0,36,Default,None,0.0
CR_249,18,500.0,60,Active,None,0.0
CR_250,373,,60,Default,None,0.0
CR_251,109,5000.0,24,Closed,Car,2789.39
CR_252,208,,12,Active,Deposit,0.0
CR_253,989,50000.0,36,Active,None,0.0
CR_254,549,500.0,36,Default,Car,426.09
CR_255,670,,60,Default,None,0.0
CR_256,528,25000.0,12,Closed,Car,25744.61
CR_257,677,5000.0,60,Default,Deposit,7353.05
CR_258,624,25000.0,12,Closed,Real Estate,27522.98
CR_259,312,500.0,60,Active,Deposit,526.49
CR_260,962,50000.0,60,Active,None,0.0
CR_261,886,50000.0,60,Closed,Deposit,62249.92
CR_262,432,50000.0,12,Closed,Car,68195.39
CR_263,815,,60,Closed,Real Estate,0.0
CR_264,571,5000.0,6,Default,None,0.0
CR_265,337,500.0,24,Closed,Car,680.62
CR_266,366,1000.0,24,Default,Deposit,784.64
CR_267,39,5000.0,36,Default,Deposit,7199.12
CR_268,316,500.0,6,Closed,Real Estate,326.95
CR_269,77,5000.0,60,Active,Deposit,2919.46
CR_270,558,25000.0,36,Default,Real Estate,33644.82
CR_271,907,,36,Default,Car,0.0
CR_272,885,,6,Closed,Real Estate,0.0
CR_273,502,50000.0,12,Default,None,0.0
CR_274,485,5000.0,36,Active,Deposit,2927.97
CR_275,200,500.0,36,Default,None,0.0
CR_276,139,500.0,24,Active,Car,250.6
CR_277,500,500.0,12,Default,Deposit,499.78
CR_278,415,,6,Active,Deposit,0.0
CR_279,338,25000.0,60,Active,Car,34267.46
CR_280,25,,12,Closed,Real Estate,0.0
CR_281,10,500.0,60,Active,Real Estate,541.24
CR_282,304,5000.0,24,Default,None,0.0
CR_283,855,50000.0,24,Default,None,0.0
CR_284,717,1000.0,36,Active,Real Estate,995.35
CR_285,224,1000.0,36,Active,Car,1378.83
CR_286,335,,6,Default,Car,0.0
CR_287,950,,36,Closed,Real Estate,0.0
CR_288,997,1000.0,60,Default,Real Estate,1329.12
CR_289,53,,60,Default,Car,0.0
CR_290,664,500.0,6,Active,Deposit,399.77
CR_291,331,500.0,36,Active,Car,531.72
CR_292,139,10000.0,12,Active,Deposit,11778.06
CR_293,915,,36,Active,None,0.0
CR_294,32,500.0,12,Active,None,0.0
CR_295,358,50000.0,60,Closed,Deposit,31114.57
CR_296,795,10000.0,6,Default,Deposit,14342.97
CR_297,354,50000.0,60,Default,Car,58170.91
CR_298,540,25000.0,12,Closed,Deposit,27418.76
CR_299,394,25000.0,12,Active,Real Estate,23163.87
CR_300,215,1000.0,24,Closed,Real Estate,953.86
CR_301,411,500.0,24,Active,Real Estate,465.65
CR_302,192,,24,Active,Car,0.0
CR_303,819,5000.0,24,Closed,Deposit,5576.45
CR_304,353,500.0,24,Default,None,0.0
CR_305,555,1000.0,36,Closed,Real Estate,1037.35
CR_306,865,10000.0,12,Active,Real Estate,11362.94
CR_307,821,10000.0,24,Closed,Real Estate,8684.22
CR_308,691,50000.0,24,Closed,Real Estate,30902.27
CR_309,46,5000.0,36,Active,Deposit,4076.98
CR_310,846,5000.0,24,Closed,Car,4106.94
CR_311,127,50000.0,12,Closed,Car,48870.61
CR_312,376,10000.0,36,Active,Real Estate,13528.72
CR_313,980,,6,Closed,Deposit,0.0
CR_314,34,50000.0,36,Active,Real Estate,27416.68
CR_315,519,50000.0,24,Active,None,0.0
CR_316,325,25000.0,36,Closed,Deposit,19544.46
CR_317,675,5000.0,36,Default,Real Estate,6822.24
CR_318,972,1000.0,12,Closed,Real Estate,792.13
CR_319,21,,6,Closed,None,0.0
CR_320,43,,36,Active,Car,0.0
CR_321,824,,24,Closed,Real Estate,0.0
CR_322,168,500.0,6,Default,Real Estate,602.82
CR_323,186,5000.0,6,Closed,Deposit,5895.05
CR_324,992,500.0,60,Active,None,0.0
CR_325,361,25000.0,36,Closed,Car,21166.64
CR_326,46,5000.0,6,Default,Deposit,6699.31
CR_327,759,25000.0,24,Default,Real Estate,23428.36
CR_328,503,1000.0,12,Default,None,0.0
CR_329,979,50000.0,6,Default,Real Estate,68835.71
CR_330,192,5000.0,24,Active,Deposit,4767.76
CR_331,256,25000.0,36,Active,None,0.0
CR_332,570,,12,Closed,Real Estate,0.0
CR_333,30,5000.0,36,Active,Deposit,6187.45
CR_334,164,1000.0,12,Closed,None,0.0
CR_335,777,5000.0,60,Active,Real Estate,4960.1
CR_336,971,,6,Closed,Car,0.0
CR_337,597,1000.0,6,Active,Car,549.49
CR_338,363,5000.0,24,Default,None,0.0
CR_339,108,500.0,60,Default,Car,487.13
CR_340,947,500.0,24,Closed,Deposit,660.12
CR_341,345,50000.0,6,Default,Real Estate,38998.36
CR_342,280,500.0,60,Closed,Deposit,657.86
CR_343,60,5000.0,24,Default,Car,6396.79
CR_344,122,500.0,24,Default,Car,363.77
CR_345,524,,60,Default,None,0.0
CR_346,749,5000.0,24,Closed,Car,4739.38
CR_347,883,10000.0,12,Default,Car,5164.62
CR_348,703,10000.0,12,Closed,Real Estate,8971.35
CR_349,351,500.0,6,Active,Real Estate,492.28
CR_350,579,500.0,6,Active,None,0.0
CR_351,490,50000.0,12,Default,Deposit,58584.81
CR_352,952,1000.0,12,Active,Deposit,1369.4
CR_353,47,,6,Closed,Deposit,0.0
CR_354,965,10000.0,12,Default,Car,10888.0
CR_355,240,50000.0,24,Default,Real Estate,70899.76
CR_356,62,,24,Closed,Real Estate,0.0
CR_357,196,5000.0,24,Closed,Car,6133.27
CR_358,128,500.0,6,Active,Deposit,670.82
CR_359,677,5000.0,12,Active,Deposit,4234.73
CR_360,119,500.0,24,Active,None,0.0
CR_361,86,5000.0,6,Closed,Real Estate,6985.1
CR_362,805,50000.0,6,Closed,Car,57427.57
CR_363,551,50000.0,60,Default,None,0.0
CR_364,54,10000.0,6,Active,Car,11536.83
CR_365,869,500.0,36,Active,None,0.0
CR_366,129,,24,Default,Deposit,0.0
CR_367,512,1000.0,12,Closed,Deposit,1225.53
CR_368,226,50000.0,24,Closed,Car,42102.29
CR_369,441,5000.0,12,Default,Real Estate,3501.86
CR_370,7,10000.0,12,Default,Car,5636.73
CR_371,350,1000.0,60,Closed,None,0.0
CR_372,333,5000.0,36,Default,Car,5954.62
CR_373,682,50000.0,12,Default,Real Estate,69414.85
CR_374,47,,36,Closed,Car,0.0
CR_375,775,,36,Default,Real Estate,0.0
CR_376,198,500.0,36,Active,None,0.0
CR_377,55,25000.0,6,Closed,Car,31663.33
CR_378,924,5000.0,24,Active,Deposit,5932.31
CR_379,64,,36,Default,None,0.0
CR_380,933,5000.0,36,Default,Car,4889.71
CR_381,84,25000.0,24,Default,None,0.0
CR_382,472,25000.0,24,Closed,None,0.0
CR_383,243,10000.0,24,Default,None,0.0
CR_384,845,,24,Default,Real Estate,0.0
CR_385,713,1000.0,36,Closed,Real Estate,621.64
CR_386,856,,24,Closed,None,0.0
CR_387,217,5000.0,24,Active,Car,6775.66
CR_388,358,1000.0,6,Closed,None,0.0
CR_389,525,,36,Closed,None,0.0
CR_390,100,10000.0,60,Active,Real Estate,11187.53
CR_391,42,50000.0,6,Closed,Car,60416.48
CR_392,343,10000.0,12,Closed,Deposit,6364.42
CR_393,173,5000.0,36,Default,Deposit,5068.96
CR_394,959,5000.0,24,Default,Real Estate,5484.48
CR_395,774,25000.0,6,Active,Deposit,36371.56
CR_396,743,50000.0,24,Closed,Car,47239.2
CR_397,164,10000.0,36,Default,None,0.0
CR_398,284,25000.0,6,Closed,Car,36135.18
CR_399,715,1000.0,6,Default,Real Estate,556.34
CR_400,754,1000.0,60,Active,Deposit,1117.92
CR_401,748,10000.0,60,Closed,Deposit,13368.73
CR_402,659,1000.0,36,Closed,Real Estate,1466.81
CR_403,624,10000.0,6,Closed,None,0.0
CR_404,724,,6,Active,Real Estate,0.0
CR_405,133,500.0,60,Active,Car,508.91
CR_406,546,5000.0,60,Active,Deposit,7331.3
CR_407,810,25000.0,24,Active,Deposit,18912.04
CR_408,515,50000.0,12,Active,Car,56469.77
CR_409,906,500.0,24,Closed,Real Estate,293.42
CR_410,232,,60,Active,None,0.0
CR_411,100,50000.0,6,Default,Deposit,61949.31
CR_412,541,,36,Default,Car,0.0
CR_413,291,500.0,12,Active,Real Estate,508.87
CR_414,175,1000.0,12,Default,None,0.0
CR_415,128,1000.0,60,Closed,Car,586.64
CR_416,322,50000.0,36,Default,None,0.0
CR_417,891,50000.0,24,Default,Car,60816.43
CR_418,215,1000.0,36,Default,Deposit,1014.86
CR_419,442,25000.0,12,Active,Real Estate,18464.5
CR_420,391,25000.0,60,Default,None,0.0
CR_421,980,,36,Default,Car,0.0
CR_422,682,10000.0,6,Closed,None,0.0
CR_423,735,500.0,12,Default,Car,506.25
CR_424,118,10000.0,60,Active,None,0.0
CR_425,373,,6,Active,Deposit,0.0
CR_426,259,,24,Active,Car,0.0
CR_427,120,10000.0,36,Active,None,0.0
CR_428,661,500.0,24,Default,Car,509.22
CR_429,880,1000.0,12,Active,Real Estate,1478.58
CR_430,539,5000.0,60,Closed,Car,4359.38
CR_431,992,10000.0,12,Default,Car,10845.25
CR_432,199,50000.0,12,Default,Deposit,55286.41
CR_433,719,50000.0,6,Default,Real Estate,33812.82
CR_434,147,500.0,6,Default,Real Estate,724.24
CR_435,593,,12,Active,Real Estate,0.0
CR_436,688,10000.0,60,Active,None,0.0
CR_437,815,1000.0,12,Closed,Deposit,610.06
CR_438,978,,24,Active,None,0.0
CR_439,261,5000.0,6,Default,None,0.0
CR_440,63,5000.0,12,Active,Deposit,3635.28
CR_441,87,5000.0,6,Default,Real Estate,3618.83
CR_442,349,10000.0,6,Closed,Car,10690.74
CR_443,78,25000.0,60,Closed,Real Estate,15086.68
CR_444,563,1000.0,24,Default,Car,1456.91
CR_445,466,1000.0,6,Active,Car,1337.91
CR_446,400,500.0,24,Closed,Car,478.82
CR_447,428,500.0,6,Active,Real Estate,497.76
CR_448,155,1000.0,36,Closed,Car,957.33
CR_449,120,1000.0,36,Default,Deposit,1307.26
CR_450,148,25000.0,12,Active,Real Estate,16217.57
CR_451,204,25000.0,60,Closed,None,0.0
CR_452,962,1000.0,60,Closed,Car,534.59
CR_453,347,50000.0,12,Closed,Deposit,55039.89
CR_454,95,50000.0,36,Active,None,0.0
CR_455,494,500.0,6,Default,None,0.0
CR_456,931,5000.0,60,Default,None,0.0
CR_457,102,,12,Closed,Car,0.0
CR_458,317,50000.0,12,Closed,Car,54841.25
CR_459,310,1000.0,24,Closed,Real Estate,733.96
CR_460,590,25000.0,60,Default,Car,35591.93
CR_461,760,500.0,12,Closed,Deposit,679.79
CR_462,951,10000.0,24,Default,Real Estate,12173.34
CR_463,757,5000.0,12,Default,Deposit,3023.17
CR_464,582,1000.0,12,Active,Deposit,1470.8
CR_465,621,1000.0,24,Closed,None,0.0
CR_466,112,50000.0,12,Closed,None,0.0
CR_467,740,25000.0,12,Active,None,0.0
CR_468,220,5000.0,12,Default,Deposit,3382.01
CR_469,889,10000.0,24,Closed,Real Estate,11116.84
CR_470,996,500.0,60,Default,Car,433.63
CR_471,286,25000.0,12,Active,Deposit,20497.74
CR_472,213,10000.0,36,Default,Real Estate,9039.28
CR_473,188,50000.0,6,Closed,Real Estate,32813.62
CR_474,84,5000.0,6,Active,Car,2587.25
CR_475,646,25000.0,6,Closed,Car,33431.23
CR_476,768,10000.0,6,Active,Real Estate,11469.02
CR_477,243,1000.0,6,Default,Deposit,1345.17
CR_478,628,1000.0,36,Closed,Real Estate,565.6
CR_479,78,1000.0,60,Active,None,0.0
CR_480,87,50000.0,12,Default,None,0.0
CR_481,600,1000.0,60,Active,Real Estate,1416.57
CR_482,892,1000.0,36,Default,Deposit,936.46
CR_483,484,500.0,12,Closed,Car,495.88
CR_484,77,,6,Active,Car,0.0
CR_485,129,,60,Closed,Deposit,0.0
CR_486,392,,24,Closed,Car,0.0
CR_487,713,5000.0,24,Active,Car,7167.06
CR_488,902,500.0,6,Default,Deposit,506.31
CR_489,929,10000.0,60,Default,None,0.0
CR_490,167,25000.0,6,Active,None,0.0
CR_491,558,50000.0,6,Active,Real Estate,40968.58
CR_492,711,10000.0,12,Default,Deposit,14780.79
CR_493,585,500.0,60,Default,Deposit,545.97
CR_494,797,500.0,36,Default,None,0.0
CR_495,521,5000.0,12,Active,Car,2925.22
CR_496,124,10000.0,6,Default,None,0.0
CR_497,715,,12,Closed,Car,0.0
CR_498,412,50000.0,60,Active,Car,72637.87
CR_499,783,25000.0,24,Default,Car,37126.59
CR_500,837,5000.0,24,Default,Real Estate,6106.47
CR_501,628,10000.0,24,Default,Deposit,6690.91
CR_502,604,5000.0,36,Default,Real Estate,7298.29
CR_503,172,,36,Active,Deposit,0.0
CR_504,173,25000.0,12,Active,Car,26166.68
CR_505,837,25000.0,24,Default,Deposit,20979.01
CR_506,257,,12,Default,Car,0.0
CR_507,632,,60,Default,Real Estate,0.0
CR_508,564,10000.0,24,Default,Car,12715.02
CR_509,122,,24,Active,Car,0.0
CR_510,5,10000.0,12,Default,None,0.0
CR_511,278,1000.0,36,Default,Real Estate,1015.24
CR_512,72,,12,Default,Deposit,0.0
CR_513,148,50000.0,36,Closed,Car,28418.02
CR_514,382,5000.0,60,Default,Real Estate,6700.26
CR_515,445,5000.0,12,Default,Deposit,6386.51
CR_516,383,,12,Closed,Real Estate,0.0
CR_517,554,50000.0,12,Default,Real Estate,36155.32
CR_518,968,1000.0,6,Active,None,0.0
CR_519,880,,24,Active,Deposit,0.0
CR_520,965,1000.0,24,Active,Car,1408.4
CR_521,782,50000.0,36,Closed,None,0.0
CR_522,320,10000.0,12,Default,Deposit,8347.32
CR_523,258,,6,Closed,Deposit,0.0
CR_524,147,,60,Active,None,0.0
CR_525,498,,36,Closed,Car,0.0
CR_526,629,25000.0,12,Active,None,0.0
CR_527,520,1000.0,12,Closed,None,0.0
CR_528,37,25000.0,36,Closed,Deposit,32922.41
CR_529,907,10000.0,24,Default,Car,6277.34
CR_530,343,5000.0,36,Active,Real Estate,6912.29
CR_531,583,500.0,12,Default,None,0.0
CR_532,328,5000.0,6,Default,Deposit,7191.27
CR_533,939,5000.0,6,Closed,Deposit,5032.01
CR_534,547,500.0,12,Closed,Deposit,602.04
CR_535,348,5000.0,36,Active,Real Estate,5927.15
CR_536,986,5000.0,24,Active,Real Estate,3355.23
CR_537,974,,6,Default,Deposit,0.0
CR_538,520,5000.0,60,Closed,Real Estate,3663.0
CR_539,464,1000.0,6,Default,Deposit,900.44
CR_540,170,25000.0,36,Closed,Real Estate,14559.43
CR_541,406,50000.0,60,Closed,Real Estate,70625.21
CR_542,531,25000.0,6,Active,Deposit,21873.18
CR_543,134,,60,Active,Car,0.0
CR_544,416,,24,Default,Deposit,0.0
CR_545,583,,6,Closed,None,0.0
CR_546,230,25000.0,60,Closed,Deposit,33119.71
CR_547,753,,12,Closed,Real Estate,0.0
CR_548,700,50000.0,24,Active,None,0.0
CR_549,767,5000.0,6,Closed,Car,7257.81
CR_550,970,5000.0,6,Default,None,0.0
CR_551,406,,60,Default,Car,0.0
CR_552,304,50000.0,6,Active,Real Estate,56943.4
CR_553,532,1000.0,6,Default,Real Estate,1385.11
CR_554,364,500.0,60,Active,None,0.0
CR_555,461,10000.0,24,Default,None,0.0
CR_556,465,10000.0,36,Active,Real Estate,5447.19
CR_557,818,1000.0,24,Active,Deposit,577.29
