credit_id,client_id,amount,duration,status,collateral_type,collateral_value,collateral_ratio,name,age,job,city,is_legal,base_pd,lgd,reserves_for_bank
CR_43,687,5000.0,6,Active,Deposit,0.0,0.0,Client_687,49,Pensioner,Stuttgart,True,0.08,0.2,80.0
CR_44,303,5000.0,36,Active,Deposit,2939.67,58.793400000000005,Client_303,40,Unemployed,Sulgen,True,0.3,0.2,300.0
CR_45,196,500.0,60,Closed,Car,589.83,117.966,Client_196,37,IT Specialist,Berlin,True,0.02,0.4,4.0
CR_46,98,5000.0,6,Closed,Nothing,0.0,0.0,Client_98,27,Sportsman,Hamburg,True,0.08,0.8,320.0
CR_47,515,500.0,60,Default,Deposit,261.86,52.37200000000001,Client_515,59,Police worker,Munich,True,0.04,0.2,4.0
CR_48,959,25000.0,12,Closed,Real Estate,27097.69,108.39076,Client_959,70,Student,Schramberg,True,0.25,0.2,1250.0
CR_49,569,500.0,36,Active,Car,662.2,132.44,Client_569,42,Director,Sulgen,True,0.01,0.4,2.0
CR_50,666,500.0,36,Default,Real Estate,594.66,118.932,Client_666,71,Driver,Frankfurt,True,0.12,0.2,12.0
CR_51,750,5000.0,36,Closed,Nothing,0.0,0.0,Client_750,38,Security,Rottweil,True,0.09,0.8,360.0
CR_52,121,10000.0,60,Active,Real Estate,13620.89,136.2089,Client_121,66,Manager,Sulgen,True,0.05,0.2,100.00000000000001
CR_53,244,25000.0,12,Active,Real Estate,14018.96,56.07584,Client_244,19,Driver,Frankfurt,True,0.12,0.2,600.0
CR_54,550,10000.0,36,Active,Nothing,0.0,0.0,Client_550,55,Pensioner,Dunningen,True,0.08,0.8,640.0
CR_55,121,5000.0,60,Closed,Nothing,0.0,0.0,Client_121,66,Manager,Sulgen,True,0.05,0.8,200.00000000000003
CR_56,179,25000.0,60,Closed,Car,30315.87,121.26348,Client_179,38,Driver,Berlin,True,0.12,0.4,1200.0
CR_57,792,5000.0,6,Closed,Car,4414.45,88.289,Client_792,65,Police worker,Hamburg,True,0.04,0.4,80.0
CR_58,813,25000.0,12,Active,Real Estate,34172.37,136.68948,Client_813,39,Sportsman,Bratslaw,True,0.08,0.2,400.0
CR_59,150,5000.0,36,Active,Deposit,0.0,0.0,Client_150,19,IT Specialist,Dunningen,True,0.02,0.2,20.0
CR_60,685,25000.0,24,Closed,Real Estate,30288.81,121.15524,Client_685,32,Director,Hardt,True,0.01,0.2,50.0
CR_61,403,5000.0,60,Active,Nothing,0.0,0.0,Client_403,28,Seller,Schramberg,True,0.06,0.8,240.0
CR_62,528,500.0,60,Default,Deposit,569.3,113.86,Client_528,53,Pensioner,Bratslaw,True,0.08,0.2,8.0
CR_63,34,500.0,6,Active,Car,731.22,146.244,Client_34,22,Seller,Sulgen,True,0.06,0.4,12.0
CR_64,443,500.0,60,Default,Real Estate,253.97,50.794,Client_443,23,Student,Bratslaw,True,0.25,0.2,25.0
CR_65,855,25000.0,12,Active,Nothing,0.0,0.0,Client_855,73,Security,Sulgen,True,0.09,0.8,1799.9999999999998
CR_66,895,5000.0,6,Active,Real Estate,3877.6,77.55199999999999,Client_895,73,Student,Schramberg,True,0.25,0.2,250.0
CR_67,305,10000.0,12,Closed,Real Estate,13531.42,135.3142,Client_305,54,Sportsman,Munich,True,0.08,0.2,160.0
CR_68,902,10000.0,24,Active,Real Estate,9910.57,99.1057,Client_902,55,Director,Dunningen,True,0.01,0.2,20.0
CR_69,392,5000.0,6,Default,Real Estate,0.0,0.0,Client_392,41,Manager,Offenburg,True,0.05,0.2,50.00000000000001
CR_70,546,5000.0,60,Default,Deposit,0.0,0.0,Client_546,56,Manager,Baden-Baden,True,0.05,0.2,50.00000000000001
CR_71,68,5000.0,6,Active,Deposit,4227.07,84.54139999999998,Client_68,49,Sportsman,Stuttgart,True,0.08,0.2,80.0
CR_72,895,5000.0,60,Default,Car,0.0,0.0,Client_895,73,Student,Schramberg,True,0.25,0.4,500.0
CR_73,118,10000.0,36,Default,Deposit,7086.12,70.8612,Client_118,75,Seller,Baden-Baden,True,0.06,0.2,120.0
CR_74,37,50000.0,24,Closed,Deposit,54597.35,109.1947,Client_37,25,Manager,Hamburg,True,0.05,0.2,500.0000000000001
CR_75,134,25000.0,60,Closed,Deposit,15099.9,60.3996,Client_134,16,Director,Tuttlingen,False,0.012,0.2,60.00000000000001
CR_76,404,50000.0,12,Default,Nothing,0.0,0.0,Client_404,49,IT Specialist,Frankfurt,True,0.02,0.8,800.0
CR_77,166,1000.0,60,Closed,Real Estate,1386.85,138.685,Client_166,40,Unemployed,Frankfurt,True,0.3,0.2,60.0
CR_78,599,5000.0,60,Default,Deposit,7113.71,142.2742,Client_599,28,Student,Rottweil,True,0.25,0.2,250.0
CR_79,403,1000.0,60,Closed,Car,1069.79,106.979,Client_403,28,Seller,Schramberg,True,0.06,0.4,24.0
CR_80,107,5000.0,24,Default,Real Estate,5251.99,105.0398,Client_107,58,Brewer,Tuttlingen,True,0.04,0.2,40.0
CR_81,240,500.0,36,Closed,Deposit,749.52,149.904,Client_240,37,Director,Tuttlingen,True,0.01,0.2,1.0
CR_82,920,25000.0,60,Active,Real Estate,26608.11,106.43244,Client_920,57,Unemployed,Bratslaw,True,0.3,0.2,1500.0
CR_83,590,1000.0,24,Active,Car,1086.32,108.632,Client_590,50,Brewer,Baden-Baden,True,0.04,0.4,16.0
CR_84,655,5000.0,24,Active,Deposit,4952.7,99.054,Client_655,34,Student,Hamburg,True,0.25,0.2,250.0
CR_85,743,5000.0,12,Default,Deposit,4350.17,87.0034,Client_743,36,Seller,Frankfurt,True,0.06,0.2,60.0
CR_86,404,25000.0,60,Active,Nothing,0.0,0.0,Client_404,49,IT Specialist,Frankfurt,True,0.02,0.8,400.0
CR_87,431,500.0,12,Default,Car,444.79,88.958,Client_431,18,Driver,Hamburg,True,0.12,0.4,24.0
CR_88,839,5000.0,6,Closed,Car,0.0,0.0,Client_839,42,Student,Tuttlingen,True,0.25,0.4,500.0
CR_89,979,500.0,24,Active,Car,374.57,74.914,Client_979,33,Security,Offenburg,True,0.09,0.4,18.0
CR_90,358,1000.0,6,Active,Car,505.84,50.584,Client_358,45,Driver,Sulgen,True,0.12,0.4,48.0
CR_91,264,50000.0,24,Default,Deposit,74817.16,149.63432,Client_264,70,Manager,Baden-Baden,True,0.05,0.2,500.0000000000001
CR_92,18,1000.0,36,Default,Nothing,0.0,0.0,Client_18,68,Teacher,Stuttgart,True,0.02,0.8,16.0
CR_93,800,50000.0,12,Active,Real Estate,67370.25,134.7405,Client_800,18,Engineer,Baden-Baden,True,0.03,0.2,300.0
CR_94,622,1000.0,6,Active,Car,1447.3,144.73,Client_622,59,Manager,Baden-Baden,True,0.05,0.4,20.000000000000004
CR_95,645,5000.0,24,Active,Nothing,0.0,0.0,Client_645,39,Engineer,Offenburg,True,0.03,0.8,120.0
CR_96,470,1000.0,6,Closed,Nothing,0.0,0.0,Client_470,56,Driver,Dunningen,True,0.12,0.8,96.0
CR_97,52,50000.0,24,Default,Real Estate,29468.55,58.9371,Client_52,37,Engineer,Bratslaw,True,0.03,0.2,300.0
CR_98,689,5000.0,6,Active,Car,6935.5,138.71,Client_689,21,Manager,Schramberg,True,0.05,0.4,100.00000000000001
CR_99,351,5000.0,6,Default,Nothing,0.0,0.0,Client_351,46,Manager,Hamburg,True,0.05,0.8,200.00000000000003
CR_100,667,500.0,12,Active,Real Estate,516.19,103.238,Client_667,75,Driver,Tuttlingen,True,0.12,0.2,12.0
CR_101,578,25000.0,36,Default,Car,14817.39,59.26956,Client_578,59,Engineer,Berlin,True,0.03,0.4,300.0
CR_102,2,50000.0,6,Closed,Deposit,51930.8,103.8616,Client_2,68,IT Specialist,Munich,True,0.02,0.2,200.0
CR_103,995,5000.0,6,Default,Nothing,0.0,0.0,Client_995,61,Unemployed,Vs,True,0.3,0.8,1200.0
CR_104,684,25000.0,24,Active,Car,14217.99,56.87196,Client_684,72,Driver,Berlin,True,0.12,0.4,1200.0
CR_105,746,50000.0,6,Active,Deposit,38660.63,77.32126,Client_746,72,Teacher,Offenburg,True,0.02,0.2,200.0
CR_106,57,50000.0,6,Closed,Real Estate,60421.28,120.84256,Client_57,70,Security,Munich,True,0.09,0.2,899.9999999999999
CR_107,303,25000.0,12,Active,Real Estate,22274.5,89.098,Client_303,40,Unemployed,Sulgen,True,0.3,0.2,1500.0
CR_108,908,1000.0,36,Active,Car,947.68,94.768,Client_908,63,Seller,Baden-Baden,True,0.06,0.4,24.0
CR_109,384,500.0,12,Closed,Nothing,0.0,0.0,Client_384,70,Pensioner,Hardt,True,0.08,0.8,32.0
CR_110,677,5000.0,60,Active,Car,7464.68,149.2936,Client_677,30,Director,Rottweil,True,0.01,0.4,20.0
CR_111,1000,5000.0,6,Closed,Real Estate,7312.28,146.2456,Client_1000,66,Director,Vs,True,0.01,0.2,10.0
CR_112,907,50000.0,60,Active,Deposit,27198.75,54.3975,Client_907,61,Unemployed,Offenburg,True,0.3,0.2,3000.0
CR_113,576,5000.0,60,Closed,Car,0.0,0.0,Client_576,75,Director,Sulgen,True,0.01,0.4,20.0
CR_114,844,5000.0,60,Default,Deposit,2527.01,50.5402,Client_844,19,Unemployed,Offenburg,True,0.3,0.2,300.0
CR_115,430,500.0,60,Active,Deposit,367.91,73.58200000000001,Client_430,70,Security,Rottweil,True,0.09,0.2,9.0
CR_116,623,10000.0,24,Active,Car,12645.27,126.4527,Client_623,60,IT Specialist,Frankfurt,True,0.02,0.4,80.0
CR_117,470,500.0,12,Active,Deposit,623.37,124.674,Client_470,56,Driver,Dunningen,True,0.12,0.2,12.0
CR_118,814,500.0,60,Default,Car,711.0,142.2,Client_814,36,IT Specialist,Rottweil,True,0.02,0.4,4.0
CR_119,509,50000.0,24,Active,Real Estate,73999.17,147.99834,Client_509,55,Police worker,Dunningen,True,0.04,0.2,400.0
CR_120,219,50000.0,12,Active,Car,69165.71,138.33142,Client_219,52,Pensioner,Bratslaw,True,0.08,0.4,1600.0
CR_121,91,1000.0,6,Closed,Car,675.01,67.501,Client_91,37,IT Specialist,Vs,True,0.02,0.4,8.0
CR_122,643,1000.0,24,Default,Car,600.2,60.02000000000001,Client_643,63,Student,Schramberg,True,0.25,0.4,100.0
CR_123,157,10000.0,6,Active,Real Estate,8058.16,80.5816,Client_157,75,Director,Vs,True,0.01,0.2,20.0
CR_124,562,5000.0,24,Default,Car,0.0,0.0,Client_562,58,Director,Rottweil,True,0.01,0.4,20.0
CR_125,318,50000.0,12,Default,Nothing,0.0,0.0,Client_318,22,Director,Hardt,True,0.01,0.8,400.0
CR_126,533,25000.0,12,Default,Car,21398.9,85.5956,Client_533,48,Pensioner,Baden-Baden,True,0.08,0.4,800.0
CR_127,468,50000.0,60,Default,Real Estate,71111.66,142.22332,Client_468,38,Manager,Berlin,True,0.05,0.2,500.0000000000001
CR_128,94,25000.0,36,Closed,Nothing,0.0,0.0,Client_94,34,IT Specialist,Rottweil,True,0.02,0.8,400.0
CR_129,677,5000.0,6,Closed,Nothing,0.0,0.0,Client_677,30,Director,Rottweil,True,0.01,0.8,40.0
CR_130,897,5000.0,6,Closed,Car,0.0,0.0,Client_897,22,Unemployed,Frankfurt,True,0.3,0.4,600.0
CR_131,296,50000.0,12,Closed,Deposit,32420.81,64.84162,Client_296,32,Seller,Munich,True,0.06,0.2,600.0
CR_132,810,10000.0,24,Closed,Deposit,13333.94,133.33939999999998,Client_810,58,Driver,Hardt,True,0.12,0.2,240.0
CR_133,740,10000.0,36,Closed,Car,8983.3,89.833,Client_740,26,Brewer,Sulgen,True,0.04,0.4,160.0
CR_134,824,500.0,60,Default,Nothing,0.0,0.0,Client_824,67,Engineer,Vs,True,0.03,0.8,12.0
CR_135,194,500.0,24,Closed,Deposit,382.36,76.47200000000001,Client_194,67,Director,Sulgen,True,0.01,0.2,1.0
CR_136,6,1000.0,60,Default,Deposit,595.63,59.563,Client_6,25,Student,Stuttgart,True,0.25,0.2,50.0
CR_137,351,10000.0,6,Active,Nothing,0.0,0.0,Client_351,46,Manager,Hamburg,True,0.05,0.8,400.00000000000006
CR_138,236,25000.0,24,Closed,Nothing,0.0,0.0,Client_236,52,Seller,Hardt,True,0.06,0.8,1200.0
CR_139,402,25000.0,36,Active,Nothing,0.0,0.0,Client_402,68,Police worker,Schramberg,True,0.04,0.8,800.0
CR_140,147,5000.0,60,Closed,Car,0.0,0.0,Client_147,42,Manager,Munich,True,0.05,0.4,100.00000000000001
CR_141,813,5000.0,36,Closed,Nothing,0.0,0.0,Client_813,39,Sportsman,Bratslaw,True,0.08,0.8,320.0
CR_142,990,500.0,60,Default,Car,423.92,84.784,Client_990,16,Engineer,Tuttlingen,False,0.036,0.4,7.2
CR_143,643,500.0,12,Closed,Deposit,358.29,71.658,Client_643,63,Student,Schramberg,True,0.25,0.2,25.0
CR_144,881,10000.0,12,Active,Deposit,13097.28,130.9728,Client_881,23,Engineer,Dunningen,True,0.03,0.2,60.0
CR_145,839,10000.0,12,Active,Deposit,11889.96,118.8996,Client_839,42,Student,Tuttlingen,True,0.25,0.2,500.0
CR_146,851,5000.0,24,Closed,Car,3388.14,67.7628,Client_851,30,Security,Berlin,True,0.09,0.4,180.0
CR_147,351,50000.0,12,Closed,Deposit,34554.25,69.10849999999999,Client_351,46,Manager,Hamburg,True,0.05,0.2,500.0000000000001
CR_148,263,500.0,60,Default,Real Estate,410.78,82.15599999999999,Client_263,28,Pensioner,Hamburg,True,0.08,0.2,8.0
CR_149,762,5000.0,24,Closed,Nothing,0.0,0.0,Client_762,74,Sportsman,Sulgen,True,0.08,0.8,320.0
CR_150,130,50000.0,6,Default,Car,41543.58,83.08716000000001,Client_130,36,Pensioner,Baden-Baden,True,0.08,0.4,1600.0
CR_151,585,5000.0,36,Closed,Nothing,0.0,0.0,Client_585,39,Brewer,Offenburg,True,0.04,0.8,160.0
CR_152,790,500.0,36,Closed,Nothing,0.0,0.0,Client_790,59,Unemployed,Frankfurt,True,0.3,0.8,120.0
CR_153,485,5000.0,24,Closed,Nothing,0.0,0.0,Client_485,64,Unemployed,Tuttlingen,True,0.3,0.8,1200.0
CR_154,561,50000.0,24,Active,Nothing,0.0,0.0,Client_561,16,Student,Munich,False,0.3,0.8,12000.0
CR_155,223,5000.0,36,Default,Car,6634.32,132.6864,Client_223,43,Director,Hamburg,True,0.01,0.4,20.0
CR_156,840,10000.0,24,Closed,Car,14224.92,142.2492,Client_840,71,Engineer,Rottweil,True,0.03,0.4,120.0
CR_157,947,10000.0,6,Active,Deposit,6895.89,68.9589,Client_947,20,Security,Frankfurt,True,0.09,0.2,180.0
CR_158,555,5000.0,36,Active,Nothing,0.0,0.0,Client_555,47,Brewer,Frankfurt,True,0.04,0.8,160.0
CR_159,766,5000.0,12,Active,Deposit,7090.24,141.8048,Client_766,24,Driver,Frankfurt,True,0.12,0.2,120.0
CR_160,255,10000.0,36,Active,Deposit,13090.14,130.9014,Client_255,29,Student,Rottweil,True,0.25,0.2,500.0
CR_161,710,5000.0,36,Default,Car,0.0,0.0,Client_710,36,Sportsman,Schramberg,True,0.08,0.4,160.0
CR_162,258,50000.0,24,Default,Real Estate,48537.78,97.07556,Client_258,64,Sportsman,Stuttgart,True,0.08,0.2,800.0
CR_163,179,50000.0,36,Active,Deposit,68010.3,136.0206,Client_179,38,Driver,Berlin,True,0.12,0.2,1200.0
CR_164,817,10000.0,12,Active,Car,10009.47,100.0947,Client_817,64,Security,Hardt,True,0.09,0.4,360.0
CR_165,961,25000.0,12,Default,Nothing,0.0,0.0,Client_961,56,IT Specialist,Hardt,True,0.02,0.8,400.0
CR_166,100,500.0,12,Default,Deposit,734.73,146.946,Client_100,51,Manager,Schramberg,True,0.05,0.2,5.000000000000001
CR_167,22,500.0,12,Closed,Deposit,295.24,59.048,Client_22,62,Pensioner,Munich,True,0.08,0.2,8.0
CR_168,10,10000.0,24,Active,Car,12064.8,120.648,Client_10,33,Police worker,Rottweil,True,0.04,0.4,160.0
CR_169,937,500.0,6,Default,Car,632.36,126.472,Client_937,41,Security,Frankfurt,True,0.09,0.4,18.0
CR_170,125,5000.0,6,Closed,Car,6730.92,134.6184,Client_125,24,Brewer,Hardt,True,0.04,0.4,80.0
CR_171,784,25000.0,12,Active,Deposit,21327.81,85.31124000000001,Client_784,27,Unemployed,Hamburg,True,0.3,0.2,1500.0
CR_172,86,25000.0,12,Default,Deposit,16988.77,67.95508,Client_86,28,Manager,Dunningen,True,0.05,0.2,250.00000000000006
CR_173,544,25000.0,36,Closed,Deposit,21291.81,85.16724,Client_544,73,Pensioner,Dunningen,True,0.08,0.2,400.0
CR_174,628,500.0,12,Default,Deposit,456.76,91.352,Client_628,60,IT Specialist,Frankfurt,True,0.02,0.2,2.0
CR_175,906,5000.0,6,Active,Real Estate,5332.67,106.6534,Client_906,45,Unemployed,Hardt,True,0.3,0.2,300.0
CR_176,103,25000.0,12,Active,Deposit,35353.0,141.412,Client_103,18,Pensioner,Dunningen,True,0.08,0.2,400.0
CR_177,807,25000.0,6,Active,Real Estate,16346.69,65.38676,Client_807,75,Student,Berlin,True,0.25,0.2,1250.0
CR_178,90,25000.0,12,Closed,Nothing,0.0,0.0,Client_90,69,Sportsman,Munich,True,0.08,0.8,1600.0
CR_179,998,25000.0,12,Closed,Real Estate,22080.98,88.32392,Client_998,57,Security,Dunningen,True,0.09,0.2,449.99999999999994
CR_180,562,1000.0,24,Default,Car,1272.71,127.271,Client_562,58,Director,Rottweil,True,0.01,0.4,4.0
CR_181,144,50000.0,60,Active,Car,42327.59,84.65518,Client_144,47,Police worker,Hamburg,True,0.04,0.4,800.0
CR_182,10,50000.0,60,Closed,Deposit,32688.99,65.37798000000001,Client_10,33,Police worker,Rottweil,True,0.04,0.2,400.0
CR_183,838,5000.0,6,Default,Car,5850.7,117.014,Client_838,36,Police worker,Hardt,True,0.04,0.4,80.0
CR_184,249,5000.0,36,Active,Car,6405.68,128.11360000000002,Client_249,74,Manager,Hamburg,True,0.05,0.4,100.00000000000001
CR_185,879,25000.0,24,Active,Car,24244.86,96.97944,Client_879,49,Seller,Berlin,True,0.06,0.4,600.0
CR_186,988,500.0,6,Active,Car,497.54,99.508,Client_988,37,Teacher,Frankfurt,True,0.02,0.4,4.0
CR_187,790,25000.0,6,Closed,Deposit,12714.11,50.856440000000006,Client_790,59,Unemployed,Frankfurt,True,0.3,0.2,1500.0
CR_188,855,5000.0,60,Closed,Deposit,3672.39,73.4478,Client_855,73,Security,Sulgen,True,0.09,0.2,90.0
CR_189,804,1000.0,36,Default,Nothing,0.0,0.0,Client_804,37,Teacher,Dunningen,True,0.02,0.8,16.0
CR_190,640,5000.0,24,Closed,Real Estate,3527.82,70.55640000000001,Client_640,25,Sportsman,Munich,True,0.08,0.2,80.0
CR_191,910,10000.0,24,Active,Nothing,0.0,0.0,Client_910,59,Seller,Frankfurt,True,0.06,0.8,480.0
CR_192,852,10000.0,6,Default,Deposit,9141.04,91.4104,Client_852,58,IT Specialist,Vs,True,0.02,0.2,40.0
CR_193,196,10000.0,12,Active,Deposit,12065.5,120.655,Client_196,37,IT Specialist,Berlin,True,0.02,0.2,40.0
CR_194,563,25000.0,36,Default,Car,30289.52,121.15808,Client_563,71,Unemployed,Berlin,True,0.3,0.4,3000.0
CR_195,121,500.0,24,Active,Deposit,393.08,78.616,Client_121,66,Manager,Sulgen,True,0.05,0.2,5.000000000000001
CR_196,576,1000.0,12,Closed,Real Estate,1379.67,137.967,Client_576,75,Director,Sulgen,True,0.01,0.2,2.0
CR_197,499,5000.0,12,Closed,Nothing,0.0,0.0,Client_499,35,Student,Bratslaw,True,0.25,0.8,1000.0
CR_198,861,10000.0,24,Default,Real Estate,12177.58,121.7758,Client_861,41,Seller,Bratslaw,True,0.06,0.2,120.0
CR_199,437,500.0,6,Default,Real Estate,354.28,70.856,Client_437,51,Director,Hamburg,True,0.01,0.2,1.0
CR_200,963,10000.0,36,Active,Nothing,0.0,0.0,Client_963,55,Brewer,Vs,True,0.04,0.8,320.0
CR_201,274,5000.0,60,Default,Deposit,7126.08,142.5216,Client_274,69,Student,Hardt,True,0.25,0.2,250.0
CR_202,239,500.0,60,Default,Real Estate,622.81,124.562,Client_239,73,IT Specialist,Dunningen,True,0.02,0.2,2.0
CR_203,602,1000.0,24,Active,Nothing,0.0,0.0,Client_602,26,Police worker,Frankfurt,True,0.04,0.8,32.0
CR_204,931,5000.0,36,Closed,Nothing,0.0,0.0,Client_931,71,Sportsman,Sulgen,True,0.08,0.8,320.0
CR_205,886,25000.0,6,Closed,Nothing,0.0,0.0,Client_886,28,Student,Offenburg,True,0.25,0.8,5000.0
CR_206,531,25000.0,60,Default,Real Estate,14216.97,56.86787999999999,Client_531,41,Unemployed,Frankfurt,True,0.3,0.2,1500.0
CR_207,229,500.0,36,Default,Deposit,325.85,65.17,Client_229,18,Director,Stuttgart,True,0.01,0.2,1.0
CR_208,368,10000.0,60,Closed,Nothing,0.0,0.0,Client_368,37,Director,Tuttlingen,True,0.01,0.8,80.0
CR_209,341,50000.0,60,Active,Deposit,33834.11,67.66822,Client_341,65,Police worker,Offenburg,True,0.04,0.2,400.0
CR_210,792,25000.0,12,Active,Deposit,13184.67,52.73868,Client_792,65,Police worker,Hamburg,True,0.04,0.2,200.0
CR_211,39,500.0,36,Closed,Deposit,287.21,57.44199999999999,Client_39,59,IT Specialist,Sulgen,True,0.02,0.2,2.0
CR_212,781,5000.0,36,Active,Real Estate,3667.44,73.3488,Client_781,35,Security,Munich,True,0.09,0.2,90.0
CR_213,522,5000.0,12,Closed,Nothing,0.0,0.0,Client_522,37,Director,Sulgen,True,0.01,0.8,40.0
CR_214,753,25000.0,60,Closed,Nothing,0.0,0.0,Client_753,74,Pensioner,Sulgen,True,0.08,0.8,1600.0
CR_215,356,10000.0,12,Active,Car,13210.56,132.1056,Client_356,19,Manager,Schramberg,True,0.05,0.4,200.00000000000003
CR_216,203,5000.0,6,Default,Nothing,0.0,0.0,Client_203,52,Engineer,Vs,True,0.03,0.8,120.0
CR_217,969,5000.0,6,Default,Real Estate,0.0,0.0,Client_969,59,Director,Schramberg,True,0.01,0.2,10.0
CR_218,83,5000.0,24,Active,Nothing,0.0,0.0,Client_83,40,Engineer,Rottweil,True,0.03,0.8,120.0
