client_id,name,age,job,city,is_legal
61,Client_61,48,Sportsman,Stuttgart,True
62,Client_62,57,IT Specialist,Frankfurt,True
63,Client_63,26,Manager,Schramberg,True
64,Client_64,40,Pensioner,Tuttlingen,True
65,Client_65,41,Unemployed,Frankfurt,True
66,Client_66,31,Police worker,Frankfurt,True
67,Client_67,57,Security,Berlin,True
68,Client_68,37,Brewer,Schramberg,True
69,Client_69,73,Brewer,Bratslaw,True
70,Client_70,38,Unemployed,Dunningen,True
71,Client_71,47,Security,Dunningen,True
72,Client_72,45,Student,Frankfurt,True
73,Client_73,29,Pensioner,Vs,True
74,Client_74,47,Driver,Offenburg,True
75,Client_75,71,Student,Hardt,True
76,Client_76,69,Police worker,Dunningen,True
77,Client_77,73,Engineer,Rottweil,True
78,Client_78,38,Brewer,Stuttgart,True
79,Client_79,73,Teacher,Frankfurt,True
80,Client_80,57,Sportsman,Tuttlingen,True
81,Client_81,30,Unemployed,Munich,True
82,Client_82,26,Manager,Frankfurt,True
83,Client_83,18,Driver,Frankfurt,True
84,Client_84,42,Brewer,Hamburg,True
85,Client_85,69,Police worker,Bratslaw,True
86,Client_86,43,Police worker,Bratslaw,True
87,Client_87,75,Sportsman,Sulgen,True
88,Client_88,38,Brewer,Tuttlingen,True
89,Client_89,71,Sportsman,Frankfurt,True
90,Client_90,64,IT Specialist,Schramberg,True
91,Client_91,20,Driver,Frankfurt,True
92,Client_92,55,Seller,Sulgen,True
93,Client_93,53,Unemployed,Frankfurt,True
94,Client_94,36,Brewer,Dunningen,True
95,Client_95,41,Manager,Schramberg,True
96,Client_96,37,Student,Dunningen,True
97,Client_97,51,Engineer,Tuttlingen,True
98,Client_98,23,Manager,Hamburg,True
99,Client_99,29,Student,Frankfurt,True
100,Client_100,39,Driver,Offenburg,True
101,Client_101,16,Student,Vs,False
102,Client_102,44,Pensioner,Sulgen,True
103,Client_103,34,Unemployed,Offenburg,True
104,Client_104,28,Police worker,Schramberg,True
105,Client_105,38,Driver,Dunningen,True
106,Client_106,18,Security,Sulgen,True
107,Client_107,31,Security,Stuttgart,True
108,Client_108,53,Seller,Bratslaw,True
109,Client_109,52,Student,Hamburg,True
110,Client_110,57,Unemployed,Offenburg,True
111,Client_111,66,Police worker,Dunningen,True
112,Client_112,67,Teacher,Munich,True
113,Client_113,53,Seller,Hamburg,True
114,Client_114,75,Pensioner,Schramberg,True
115,Client_115,50,Director,Vs,True
116,Client_116,65,Driver,Bratslaw,True
117,Client_117,47,Manager,Rottweil,True
118,Client_118,23,Security,Dunningen,True
119,Client_119,49,Teacher,Schramberg,True
120,Client_120,52,Engineer,Munich,True
121,Client_121,75,Police worker,Rottweil,True
122,Client_122,29,Engineer,Tuttlingen,True
123,Client_123,45,Manager,Berlin,True
124,Client_124,31,Manager,Tuttlingen,True
125,Client_125,63,Engineer,Frankfurt,True
126,Client_126,22,Manager,Bratslaw,True
127,Client_127,52,Sportsman,Berlin,True
128,Client_128,20,Engineer,Vs,True
129,Client_129,37,Police worker,Tuttlingen,True
130,Client_130,55,Driver,Hamburg,True
131,Client_131,22,Unemployed,Hardt,True
132,Client_132,22,Driver,Rottweil,True
133,Client_133,21,IT Specialist,Schramberg,True
134,Client_134,68,Manager,Vs,True
135,Client_135,39,Seller,Offenburg,True
136,Client_136,56,Sportsman,Offenburg,True
137,Client_137,69,Sportsman,Bratslaw,True
138,Client_138,26,Engineer,Bratslaw,True
139,Client_139,34,Security,Offenburg,True
140,Client_140,17,Seller,Dunningen,False
141,Client_141,68,Unemployed,Frankfurt,True
142,Client_142,59,Director,Offenburg,True
143,Client_143,35,Engineer,Dunningen,True
144,Client_144,57,Driver,Stuttgart,True
145,Client_145,43,Police worker,Frankfurt,True
146,Client_146,40,Unemployed,Offenburg,True
147,Client_147,64,Student,Vs,True
148,Client_148,47,Director,Offenburg,True
149,Client_149,45,Brewer,Schramberg,True
150,Client_150,57,Driver,Munich,True
151,Client_151,54,IT Specialist,Hardt,True
152,Client_152,23,Police worker,Stuttgart,True
153,Client_153,34,Sportsman,Tuttlingen,True
154,Client_154,68,Seller,Offenburg,True
155,Client_155,51,Security,Baden-Baden,True
156,Client_156,60,Police worker,Tuttlingen,True
157,Client_157,69,Sportsman,Offenburg,True
158,Client_158,72,Director,Vs,True
159,Client_159,65,Manager,Offenburg,True
160,Client_160,34,Manager,Frankfurt,True
161,Client_161,37,Manager,Offenburg,True
162,Client_162,61,Driver,Hardt,True
163,Client_163,74,Driver,Dunningen,True
164,Client_164,70,Director,Frankfurt,True
165,Client_165,69,Manager,Offenburg,True
166,Client_166,38,Director,Hardt,True
167,Client_167,30,Security,Baden-Baden,True
168,Client_168,19,Security,Stuttgart,True
169,Client_169,75,Student,Rottweil,True
170,Client_170,29,Manager,Frankfurt,True
171,Client_171,43,Pensioner,Frankfurt,True
172,Client_172,70,Police worker,Dunningen,True
173,Client_173,45,Seller,Dunningen,True
174,Client_174,70,Manager,Schramberg,True
175,Client_175,33,Brewer,Berlin,True
176,Client_176,17,Engineer,Baden-Baden,False
177,Client_177,42,Driver,Tuttlingen,True
178,Client_178,54,Unemployed,Tuttlingen,True
179,Client_179,19,Sportsman,Hamburg,True
180,Client_180,44,Teacher,Hardt,True
181,Client_181,32,IT Specialist,Schramberg,True
182,Client_182,42,Police worker,Munich,True
183,Client_183,59,IT Specialist,Berlin,True
184,Client_184,60,Unemployed,Dunningen,True
185,Client_185,42,Engineer,Rottweil,True
186,Client_186,48,Student,Stuttgart,True
187,Client_187,25,IT Specialist,Hardt,True
188,Client_188,54,Student,Hardt,True
189,Client_189,37,Police worker,Baden-Baden,True
190,Client_190,50,Director,Rottweil,True
191,Client_191,27,IT Specialist,Frankfurt,True
192,Client_192,26,Teacher,Vs,True
193,Client_193,27,Manager,Vs,True
194,Client_194,57,Security,Tuttlingen,True
195,Client_195,52,Driver,Hardt,True
196,Client_196,45,Driver,Berlin,True
197,Client_197,37,Engineer,Rottweil,True
198,Client_198,45,Teacher,Offenburg,True
199,Client_199,69,Sportsman,Baden-Baden,True
200,Client_200,70,Unemployed,Frankfurt,True
201,Client_201,29,Engineer,Munich,True
202,Client_202,23,Unemployed,Dunningen,True
203,Client_203,32,IT Specialist,Frankfurt,True
204,Client_204,38,Director,Dunningen,True
205,Client_205,37,Seller,Schramberg,True
206,Client_206,74,Unemployed,Hamburg,True
207,Client_207,39,Security,Frankfurt,True
208,Client_208,29,Sportsman,Schramberg,True
209,Client_209,24,Pensioner,Hamburg,True
210,Client_210,16,Seller,Baden-Baden,False
211,Client_211,47,Driver,Berlin,True
212,Client_212,75,Student,Tuttlingen,True
213,Client_213,51,Security,Frankfurt,True
214,Client_214,33,Driver,Offenburg,True
215,Client_215,23,Pensioner,Berlin,True
216,Client_216,67,IT Specialist,Frankfurt,True
217,Client_217,39,Pensioner,Berlin,True
218,Client_218,65,Police worker,Frankfurt,True
219,Client_219,26,Unemployed,Frankfurt,True
220,Client_220,37,Driver,Hardt,True
221,Client_221,30,Driver,Munich,True
222,Client_222,69,Driver,Hardt,True
223,Client_223,57,IT Specialist,Stuttgart,True
224,Client_224,71,Unemployed,Stuttgart,True
225,Client_225,38,Driver,Sulgen,True
226,Client_226,30,Seller,Munich,True
227,Client_227,50,Teacher,Berlin,True
228,Client_228,53,Police worker,Schramberg,True
229,Client_229,21,IT Specialist,Hardt,True
230,Client_230,35,IT Specialist,Baden-Baden,True
231,Client_231,40,Seller,Baden-Baden,True
232,Client_232,21,Engineer,Rottweil,True
233,Client_233,39,Sportsman,Dunningen,True
234,Client_234,53,Teacher,Tuttlingen,True
235,Client_235,66,Unemployed,Dunningen,True
236,Client_236,69,Pensioner,Dunningen,True
237,Client_237,24,Unemployed,Stuttgart,True
238,Client_238,42,Brewer,Vs,True
239,Client_239,24,Brewer,Stuttgart,True
240,Client_240,60,Student,Munich,True
241,Client_241,62,Seller,Berlin,True
242,Client_242,41,Student,Berlin,True
243,Client_243,48,Seller,Bratslaw,True
244,Client_244,26,Director,Frankfurt,True
245,Client_245,21,Seller,Frankfurt,True
246,Client_246,44,Unemployed,Frankfurt,True
247,Client_247,70,Unemployed,Tuttlingen,True
248,Client_248,16,Manager,Offenburg,False
249,Client_249,22,Manager,Tuttlingen,True
250,Client_250,22,Security,Tuttlingen,True
251,Client_251,51,Unemployed,Frankfurt,True
252,Client_252,56,Unemployed,Tuttlingen,True
253,Client_253,41,IT Specialist,Schramberg,True
254,Client_254,75,Brewer,Dunningen,True
255,Client_255,64,Teacher,Frankfurt,True
256,Client_256,32,Seller,Baden-Baden,True
257,Client_257,58,Brewer,Stuttgart,True
258,Client_258,51,Seller,Dunningen,True
259,Client_259,37,Engineer,Berlin,True
260,Client_260,43,Engineer,Baden-Baden,True
261,Client_261,59,Director,Dunningen,True
262,Client_262,29,Director,Vs,True
263,Client_263,75,Sportsman,Frankfurt,True
264,Client_264,73,Driver,Frankfurt,True
265,Client_265,29,Pensioner,Offenburg,True
266,Client_266,72,Manager,Frankfurt,True
267,Client_267,35,Pensioner,Hamburg,True
268,Client_268,42,Driver,Dunningen,True
269,Client_269,17,Pensioner,Schramberg,False
270,Client_270,75,Engineer,Munich,True
271,Client_271,29,Sportsman,Stuttgart,True
272,Client_272,32,Director,Baden-Baden,True
273,Client_273,17,Manager,Offenburg,False
274,Client_274,40,Pensioner,Vs,True
275,Client_275,34,Director,Rottweil,True
276,Client_276,75,Teacher,Tuttlingen,True
277,Client_277,48,Teacher,Munich,True
278,Client_278,28,Student,Berlin,True
279,Client_279,42,Unemployed,Rottweil,True
280,Client_280,49,IT Specialist,Berlin,True
281,Client_281,50,Director,Schramberg,True
282,Client_282,53,Security,Vs,True
283,Client_283,69,IT Specialist,Hamburg,True
284,Client_284,40,Director,Stuttgart,True
285,Client_285,70,Sportsman,Baden-Baden,True
286,Client_286,75,IT Specialist,Baden-Baden,True
287,Client_287,19,Unemployed,Bratslaw,True
288,Client_288,62,Security,Rottweil,True
289,Client_289,27,Student,Tuttlingen,True
290,Client_290,27,Driver,Stuttgart,True
291,Client_291,37,Driver,Frankfurt,True
292,Client_292,42,Brewer,Tuttlingen,True
293,Client_293,75,Police worker,Frankfurt,True
294,Client_294,70,Security,Hardt,True
295,Client_295,50,Security,Offenburg,True
296,Client_296,57,Pensioner,Dunningen,True
297,Client_297,63,Driver,Sulgen,True
298,Client_298,38,IT Specialist,Tuttlingen,True
299,Client_299,37,Sportsman,Frankfurt,True
300,Client_300,56,Manager,Baden-Baden,True
301,Client_301,59,Teacher,Frankfurt,True
302,Client_302,19,Teacher,Sulgen,True
303,Client_303,65,Seller,Hardt,True
304,Client_304,23,Pensioner,Dunningen,True
305,Client_305,32,Student,Schramberg,True
306,Client_306,75,Manager,Bratslaw,True
307,Client_307,28,Sportsman,Rottweil,True
308,Client_308,67,Manager,Berlin,True
309,Client_309,73,Security,Schramberg,True
310,Client_310,51,Manager,Bratslaw,True
311,Client_311,57,Brewer,Sulgen,True
312,Client_312,27,Police worker,Frankfurt,True
313,Client_313,30,Police worker,Sulgen,True
314,Client_314,40,IT Specialist,Schramberg,True
315,Client_315,57,Teacher,Frankfurt,True
316,Client_316,17,Pensioner,Vs,False
317,Client_317,63,Engineer,Frankfurt,True
318,Client_318,16,Student,Hamburg,False
319,Client_319,20,Teacher,Offenburg,True
320,Client_320,62,Engineer,Hardt,True
321,Client_321,43,Unemployed,Hamburg,True
322,Client_322,63,Unemployed,Offenburg,True
323,Client_323,66,Driver,Frankfurt,True
324,Client_324,60,Brewer,Munich,True
325,Client_325,44,Security,Vs,True
326,Client_326,31,Student,Frankfurt,True
327,Client_327,23,Student,Frankfurt,True
328,Client_328,48,Teacher,Stuttgart,True
329,Client_329,22,Security,Baden-Baden,True
330,Client_330,52,IT Specialist,Dunningen,True
331,Client_331,69,IT Specialist,Bratslaw,True
332,Client_332,63,Engineer,Berlin,True
333,Client_333,75,Director,Berlin,True
334,Client_334,72,Seller,Vs,True
335,Client_335,17,Teacher,Frankfurt,False
336,Client_336,54,Police worker,Berlin,True
337,Client_337,46,Director,Schramberg,True
338,Client_338,61,Director,Munich,True
339,Client_339,71,Unemployed,Hamburg,True
340,Client_340,31,Driver,Berlin,True
341,Client_341,42,Brewer,Berlin,True
342,Client_342,66,Teacher,Frankfurt,True
343,Client_343,35,Manager,Offenburg,True
344,Client_344,30,Teacher,Frankfurt,True
345,Client_345,21,Driver,Sulgen,True
346,Client_346,43,Manager,Hamburg,True
347,Client_347,70,Security,Tuttlingen,True
348,Client_348,74,Sportsman,Baden-Baden,True
349,Client_349,29,Police worker,Hamburg,True
350,Client_350,32,Engineer,Frankfurt,True
351,Client_351,49,Engineer,Offenburg,True
352,Client_352,18,Manager,Offenburg,True
353,Client_353,67,Driver,Sulgen,True
354,Client_354,35,Director,Bratslaw,True
355,Client_355,53,Security,Hamburg,True
356,Client_356,22,Student,Tuttlingen,True
357,Client_357,64,Pensioner,Dunningen,True
358,Client_358,60,Teacher,Schramberg,True
359,Client_359,49,Pensioner,Baden-Baden,True
360,Client_360,75,Security,Hardt,True
361,Client_361,45,Brewer,Frankfurt,True
362,Client_362,70,Unemployed,Frankfurt,True
363,Client_363,50,Security,Berlin,True
364,Client_364,75,Security,Tuttlingen,True
365,Client_365,26,Security,Frankfurt,True
366,Client_366,67,IT Specialist,Frankfurt,True
367,Client_367,63,Unemployed,Frankfurt,True
368,Client_368,52,Seller,Vs,True
369,Client_369,67,Teacher,Frankfurt,True
370,Client_370,62,Director,Baden-Baden,True
371,Client_371,51,Driver,Bratslaw,True
372,Client_372,33,Driver,Offenburg,True
373,Client_373,28,IT Specialist,Offenburg,True
374,Client_374,69,Manager,Stuttgart,True
375,Client_375,16,Police worker,Stuttgart,False
376,Client_376,61,Police worker,Frankfurt,True
377,Client_377,69,Teacher,Bratslaw,True
378,Client_378,70,Brewer,Hardt,True
379,Client_379,19,Manager,Vs,True
380,Client_380,38,Seller,Berlin,True
381,Client_381,66,Director,Berlin,True
382,Client_382,75,Driver,Berlin,True
383,Client_383,38,Manager,Stuttgart,True
384,Client_384,33,Pensioner,Rottweil,True
385,Client_385,52,Security,Dunningen,True
386,Client_386,48,Manager,Schramberg,True
387,Client_387,61,Manager,Dunningen,True
388,Client_388,40,Student,Hamburg,True
389,Client_389,62,Director,Rottweil,True
390,Client_390,34,Seller,Bratslaw,True
391,Client_391,60,Director,Sulgen,True
392,Client_392,59,Teacher,Stuttgart,True
393,Client_393,62,Director,Bratslaw,True
394,Client_394,73,Director,Tuttlingen,True
395,Client_395,35,Student,Stuttgart,True
396,Client_396,54,Unemployed,Vs,True
397,Client_397,75,IT Specialist,Stuttgart,True
398,Client_398,28,Student,Hamburg,True
399,Client_399,40,Manager,Baden-Baden,True
400,Client_400,72,Pensioner,Hamburg,True
401,Client_401,27,Manager,Schramberg,True
402,Client_402,17,Sportsman,Dunningen,False
403,Client_403,68,Sportsman,Sulgen,True
404,Client_404,28,Seller,Tuttlingen,True
405,Client_405,44,Pensioner,Sulgen,True
406,Client_406,74,Director,Rottweil,True
407,Client_407,69,Security,Rottweil,True
408,Client_408,66,Police worker,Tuttlingen,True
409,Client_409,35,Brewer,Offenburg,True
410,Client_410,48,Unemployed,Hamburg,True
411,Client_411,45,Teacher,Frankfurt,True
412,Client_412,57,Brewer,Dunningen,True
413,Client_413,63,Director,Frankfurt,True
414,Client_414,75,Manager,Frankfurt,True
415,Client_415,45,Student,Frankfurt,True
416,Client_416,74,Pensioner,Frankfurt,True
417,Client_417,69,Pensioner,Frankfurt,True
418,Client_418,46,Director,Dunningen,True
419,Client_419,18,IT Specialist,Hamburg,True
420,Client_420,72,Brewer,Dunningen,True
421,Client_421,61,Sportsman,Vs,True
422,Client_422,43,Seller,Berlin,True
423,Client_423,36,Unemployed,Dunningen,True
424,Client_424,58,Security,Sulgen,True
425,Client_425,72,Driver,Tuttlingen,True
426,Client_426,45,Seller,Rottweil,True
427,Client_427,36,Police worker,Munich,True
428,Client_428,30,Brewer,Tuttlingen,True
429,Client_429,65,Teacher,Frankfurt,True
430,Client_430,42,Brewer,Bratslaw,True
431,Client_431,40,Unemployed,Baden-Baden,True
432,Client_432,51,Brewer,Berlin,True
433,Client_433,62,Director,Dunningen,True
434,Client_434,29,Brewer,Hardt,True
435,Client_435,64,Sportsman,Vs,True
436,Client_436,56,Sportsman,Frankfurt,True
437,Client_437,18,Unemployed,Tuttlingen,True
438,Client_438,59,Student,Rottweil,True
439,Client_439,37,Manager,Rottweil,True
440,Client_440,37,IT Specialist,Offenburg,True
441,Client_441,44,Pensioner,Vs,True
442,Client_442,55,Pensioner,Tuttlingen,True
443,Client_443,33,Engineer,Offenburg,True
444,Client_444,28,Police worker,Hardt,True
445,Client_445,52,Engineer,Berlin,True
446,Client_446,16,Pensioner,Frankfurt,False
447,Client_447,34,IT Specialist,Dunningen,True
448,Client_448,29,Brewer,Berlin,True
449,Client_449,67,Teacher,Baden-Baden,True
450,Client_450,21,Unemployed,Schramberg,True
451,Client_451,20,Unemployed,Hamburg,True
452,Client_452,71,Director,Hardt,True
453,Client_453,54,Teacher,Stuttgart,True
454,Client_454,38,Manager,Sulgen,True
455,Client_455,50,Sportsman,Offenburg,True
456,Client_456,16,Sportsman,Frankfurt,False
457,Client_457,36,Sportsman,Hamburg,True
458,Client_458,25,Pensioner,Rottweil,True
459,Client_459,33,Brewer,Bratslaw,True
460,Client_460,37,Pensioner,Schramberg,True
461,Client_461,52,Brewer,Baden-Baden,True
462,Client_462,38,Unemployed,Stuttgart,True
463,Client_463,59,Brewer,Bratslaw,True
464,Client_464,35,Security,Frankfurt,True
465,Client_465,70,Teacher,Frankfurt,True
466,Client_466,67,Brewer,Frankfurt,True
467,Client_467,42,Teacher,Dunningen,True
468,Client_468,19,Driver,Bratslaw,True
469,Client_469,20,Brewer,Dunningen,True
470,Client_470,64,Sportsman,Schramberg,True
471,Client_471,28,Engineer,Vs,True
472,Client_472,47,Sportsman,Sulgen,True
473,Client_473,18,Manager,Dunningen,True
474,Client_474,75,Student,Berlin,True
475,Client_475,71,Sportsman,Stuttgart,True
476,Client_476,31,Security,Dunningen,True
477,Client_477,25,Pensioner,Bratslaw,True
478,Client_478,53,Director,Hamburg,True
479,Client_479,22,Sportsman,Munich,True
480,Client_480,25,Police worker,Schramberg,True
481,Client_481,43,Sportsman,Frankfurt,True
482,Client_482,43,Security,Hamburg,True
483,Client_483,47,Driver,Hamburg,True
484,Client_484,68,Police worker,Offenburg,True
485,Client_485,61,Director,Offenburg,True
486,Client_486,25,Police worker,Hardt,True
487,Client_487,47,Teacher,Bratslaw,True
488,Client_488,24,Driver,Stuttgart,True
489,Client_489,39,IT Specialist,Bratslaw,True
490,Client_490,71,Police worker,Berlin,True
491,Client_491,24,Engineer,Hamburg,True
492,Client_492,46,Brewer,Stuttgart,True
493,Client_493,65,Unemployed,Dunningen,True
494,Client_494,37,Manager,Frankfurt,True
495,Client_495,23,Director,Dunningen,True
496,Client_496,33,Seller,Stuttgart,True
497,Client_497,46,Director,Bratslaw,True
498,Client_498,49,IT Specialist,Vs,True
499,Client_499,28,Student,Hamburg,True
500,Client_500,25,Security,Frankfurt,True
501,Client_501,59,Security,Schramberg,True
502,Client_502,55,IT Specialist,Tuttlingen,True
503,Client_503,66,Seller,Baden-Baden,True
504,Client_504,20,Security,Frankfurt,True
505,Client_505,50,Security,Munich,True
506,Client_506,63,Director,Rottweil,True
507,Client_507,52,IT Specialist,Rottweil,True
508,Client_508,61,IT Specialist,Bratslaw,True
509,Client_509,37,IT Specialist,Bratslaw,True
510,Client_510,74,Unemployed,Sulgen,True
511,Client_511,30,Driver,Frankfurt,True
512,Client_512,19,Security,Baden-Baden,True
513,Client_513,16,Teacher,Schramberg,False
514,Client_514,42,Engineer,Tuttlingen,True
515,Client_515,44,Unemployed,Munich,True
516,Client_516,67,IT Specialist,Frankfurt,True
517,Client_517,54,Security,Stuttgart,True
518,Client_518,16,Police worker,Hamburg,False
519,Client_519,71,Director,Bratslaw,True
520,Client_520,18,Manager,Baden-Baden,True
521,Client_521,20,Driver,Baden-Baden,True
522,Client_522,19,Director,Berlin,True
523,Client_523,49,Unemployed,Offenburg,True
524,Client_524,48,Driver,Tuttlingen,True
525,Client_525,23,Driver,Schramberg,True
526,Client_526,64,Seller,Offenburg,True
527,Client_527,23,Sportsman,Hardt,True
528,Client_528,61,Driver,Schramberg,True
529,Client_529,17,Manager,Hardt,False
530,Client_530,27,Unemployed,Baden-Baden,True
531,Client_531,70,Director,Vs,True
532,Client_532,68,Pensioner,Munich,True
533,Client_533,72,Teacher,Dunningen,True
534,Client_534,22,Security,Hardt,True
535,Client_535,49,Pensioner,Frankfurt,True
536,Client_536,44,Brewer,Sulgen,True
537,Client_537,39,Unemployed,Munich,True
538,Client_538,22,Brewer,Rottweil,True
539,Client_539,52,Director,Rottweil,True
540,Client_540,38,Engineer,Stuttgart,True
541,Client_541,55,Brewer,Hamburg,True
542,Client_542,29,Security,Baden-Baden,True
543,Client_543,55,Engineer,Offenburg,True
544,Client_544,73,Pensioner,Bratslaw,True
545,Client_545,37,Teacher,Schramberg,True
546,Client_546,17,Director,Baden-Baden,False
547,Client_547,39,Sportsman,Vs,True
548,Client_548,23,Director,Berlin,True
549,Client_549,70,Unemployed,Bratslaw,True
550,Client_550,16,Security,Offenburg,False
551,Client_551,70,Security,Frankfurt,True
552,Client_552,74,Director,Offenburg,True
553,Client_553,59,Seller,Offenburg,True
554,Client_554,24,Manager,Tuttlingen,True
555,Client_555,62,Driver,Berlin,True
556,Client_556,21,Director,Baden-Baden,True
557,Client_557,75,Director,Schramberg,True
558,Client_558,21,Seller,Frankfurt,True
559,Client_559,31,Student,Sulgen,True
560,Client_560,49,Brewer,Rottweil,True
561,Client_561,60,Police worker,Frankfurt,True
562,Client_562,17,IT Specialist,Vs,False
563,Client_563,34,Engineer,Tuttlingen,True
564,Client_564,17,Manager,Bratslaw,False
565,Client_565,71,Security,Vs,True
566,Client_566,70,IT Specialist,Munich,True
567,Client_567,22,Engineer,Munich,True
568,Client_568,28,Seller,Schramberg,True
569,Client_569,23,Security,Dunningen,True
570,Client_570,63,Police worker,Stuttgart,True
571,Client_571,47,Driver,Vs,True
572,Client_572,33,Unemployed,Offenburg,True
573,Client_573,50,Security,Hamburg,True
574,Client_574,67,Manager,Hardt,True
575,Client_575,48,Student,Bratslaw,True
576,Client_576,39,Student,Baden-Baden,True
577,Client_577,75,Sportsman,Schramberg,True
578,Client_578,53,Sportsman,Frankfurt,True
579,Client_579,53,Police worker,Stuttgart,True
580,Client_580,55,Teacher,Vs,True
581,Client_581,38,Seller,Bratslaw,True
582,Client_582,74,IT Specialist,Rottweil,True
583,Client_583,48,Sportsman,Frankfurt,True
584,Client_584,67,Director,Vs,True
585,Client_585,44,Security,Stuttgart,True
586,Client_586,46,Engineer,Hardt,True
587,Client_587,68,Brewer,Hamburg,True
588,Client_588,51,Teacher,Offenburg,True
589,Client_589,25,Unemployed,Baden-Baden,True
590,Client_590,48,Unemployed,Munich,True
591,Client_591,48,Director,Offenburg,True
592,Client_592,55,Unemployed,Offenburg,True
593,Client_593,20,Driver,Munich,True
594,Client_594,25,Security,Baden-Baden,True
595,Client_595,51,Sportsman,Bratslaw,True
596,Client_596,62,Manager,Vs,True
597,Client_597,70,Unemployed,Dunningen,True
598,Client_598,26,Sportsman,Vs,True
599,Client_599,29,Security,Munich,True
600,Client_600,30,IT Specialist,Frankfurt,True
601,Client_601,30,Teacher,Berlin,True
602,Client_602,56,Director,Bratslaw,True
603,Client_603,24,Seller,Stuttgart,True
604,Client_604,65,Engineer,Rottweil,True
605,Client_605,46,Engineer,Hamburg,True
606,Client_606,20,Brewer,Baden-Baden,True
607,Client_607,37,IT Specialist,Frankfurt,True
608,Client_608,72,Unemployed,Vs,True
609,Client_609,51,IT Specialist,Bratslaw,True
610,Client_610,28,Police worker,Frankfurt,True
611,Client_611,36,Sportsman,Offenburg,True
612,Client_612,34,Police worker,Dunningen,True
613,Client_613,49,Seller,Hamburg,True
614,Client_614,28,Driver,Vs,True
615,Client_615,39,Pensioner,Dunningen,True
616,Client_616,20,Security,Berlin,True
617,Client_617,32,Pensioner,Munich,True
618,Client_618,37,Police worker,Baden-Baden,True
619,Client_619,39,Teacher,Tuttlingen,True
620,Client_620,45,Police worker,Sulgen,True
621,Client_621,67,IT Specialist,Dunningen,True
622,Client_622,65,Pensioner,Stuttgart,True
623,Client_623,49,Seller,Stuttgart,True
624,Client_624,18,Sportsman,Vs,True
625,Client_625,24,Manager,Sulgen,True
626,Client_626,60,Police worker,Hamburg,True
627,Client_627,24,IT Specialist,Stuttgart,True
628,Client_628,34,Sportsman,Berlin,True
629,Client_629,57,Director,Frankfurt,True
630,Client_630,58,Director,Berlin,True
631,Client_631,50,Driver,Baden-Baden,True
632,Client_632,21,IT Specialist,Sulgen,True
633,Client_633,58,Unemployed,Tuttlingen,True
634,Client_634,55,Engineer,Munich,True
635,Client_635,59,Director,Frankfurt,True
636,Client_636,58,IT Specialist,Sulgen,True
637,Client_637,28,Sportsman,Tuttlingen,True
