credit_id,client_id,amount,duration,status,collateral_type,collateral_value,collateral_ratio
CR_49,91,10000.0,60,Default,Deposit,5631.36,56.313599999999994
CR_50,913,5000.0,36,Closed,Real Estate,6252.91,125.05819999999999
CR_51,942,15275.671406003159,12,Active,Nothing,0.0,0.0
CR_52,344,1000.0,6,Closed,Car,1491.86,149.186
CR_53,799,500.0,6,Active,Car,512.41,102.48199999999999
CR_54,510,10000.0,12,Default,Nothing,0.0,0.0
CR_55,762,10000.0,6,Active,Nothing,0.0,0.0
CR_56,909,50000.0,60,Default,Deposit,46297.71,92.59541999999999
CR_57,245,15275.671406003159,24,Default,Nothing,0.0,0.0
CR_58,40,50000.0,36,Closed,Deposit,57393.16,114.78632
CR_59,394,15275.671406003159,12,Default,Car,0.0,0.0
CR_60,432,5000.0,6,Closed,Deposit,4840.37,96.8074
CR_61,679,500.0,12,Active,Real Estate,474.24,94.848
CR_62,867,1000.0,12,Closed,Nothing,0.0,0.0
CR_63,931,5000.0,36,Default,Nothing,0.0,0.0
CR_64,194,50000.0,12,Closed,Deposit,66084.62,132.16924
CR_65,127,15275.671406003159,36,Active,Nothing,0.0,0.0
CR_66,259,15275.671406003159,60,Active,Nothing,0.0,0.0
CR_67,316,25000.0,36,Active,Nothing,0.0,0.0
CR_68,860,1000.0,60,Closed,Nothing,0.0,0.0
CR_69,185,25000.0,24,Closed,Nothing,0.0,0.0
CR_70,61,10000.0,60,Active,Deposit,6565.71,65.6571
CR_71,63,5000.0,6,Closed,Real Estate,2921.69,58.433800000000005
CR_72,200,25000.0,6,Active,Real Estate,33386.29,133.54516
CR_73,502,50000.0,36,Closed,Car,25521.37,51.042739999999995
CR_74,134,5000.0,24,Active,Deposit,5496.52,109.9304
CR_75,312,50000.0,24,Closed,Car,51369.77,102.73953999999999
CR_76,643,1000.0,60,Active,Real Estate,1270.59,127.05899999999998
CR_77,409,500.0,12,Active,Deposit,699.58,139.91600000000003
CR_78,12,15275.671406003159,36,Closed,Deposit,0.0,0.0
CR_79,21,500.0,6,Closed,Deposit,515.02,103.004
CR_80,494,10000.0,6,Closed,Real Estate,7561.81,75.6181
CR_81,496,5000.0,24,Active,Real Estate,6117.11,122.3422
CR_82,927,1000.0,6,Default,Deposit,1150.74,115.07400000000001
CR_83,437,10000.0,36,Active,Car,9300.97,93.0097
CR_84,284,10000.0,24,Closed,Deposit,6484.95,64.84949999999999
CR_85,918,15275.671406003159,60,Default,Car,0.0,0.0
CR_86,589,10000.0,6,Closed,Nothing,0.0,0.0
CR_87,529,25000.0,60,Closed,Nothing,0.0,0.0
CR_88,925,5000.0,24,Active,Real Estate,6997.29,139.94580000000002
CR_89,452,50000.0,24,Closed,Real Estate,50978.17,101.95634
CR_90,144,500.0,36,Closed,Nothing,0.0,0.0
CR_91,475,15275.671406003159,60,Closed,Deposit,0.0,0.0
CR_92,533,25000.0,60,Active,Deposit,36745.7,146.9828
CR_93,774,500.0,12,Closed,Nothing,0.0,0.0
CR_94,779,50000.0,60,Closed,Deposit,47392.06,94.78411999999999
CR_95,476,1000.0,36,Closed,Car,916.22,91.622
CR_96,121,10000.0,60,Active,Car,11232.7,112.327
CR_97,465,500.0,60,Closed,Car,649.03,129.806
CR_98,521,25000.0,36,Active,Deposit,22528.54,90.11416
CR_99,531,50000.0,6,Active,Nothing,0.0,0.0
CR_100,577,15275.671406003159,24,Active,Nothing,0.0,0.0
CR_101,531,1000.0,6,Default,Deposit,868.91,86.89099999999999
CR_102,634,10000.0,24,Default,Car,9648.01,96.48010000000001
CR_103,176,500.0,12,Closed,Deposit,324.72,64.944
CR_104,943,50000.0,12,Active,Nothing,0.0,0.0
CR_105,429,25000.0,6,Default,Real Estate,32123.87,128.49548
CR_106,793,5000.0,36,Closed,Car,6253.4,125.068
CR_107,100,10000.0,60,Default,Car,11459.23,114.59230000000001
CR_108,27,25000.0,36,Default,Nothing,0.0,0.0
CR_109,24,50000.0,24,Closed,Deposit,59301.87,118.60374
CR_110,285,25000.0,60,Default,Deposit,34499.09,137.99635999999998
CR_111,18,500.0,24,Default,Car,307.71,61.541999999999994
CR_112,71,15275.671406003159,36,Closed,Nothing,0.0,0.0
CR_113,822,1000.0,24,Default,Real Estate,645.58,64.558
CR_114,693,500.0,24,Active,Deposit,674.71,134.942
CR_115,549,500.0,12,Default,Deposit,552.09,110.41800000000002
CR_116,422,500.0,60,Closed,Car,744.72,148.94400000000002
CR_117,224,25000.0,36,Active,Real Estate,29965.91,119.86364
CR_118,444,10000.0,60,Closed,Nothing,0.0,0.0
CR_119,649,500.0,24,Default,Car,653.21,130.64200000000002
CR_120,490,1000.0,36,Closed,Deposit,605.62,60.562000000000005
CR_121,904,50000.0,12,Closed,Real Estate,55049.97,110.09994
CR_122,954,10000.0,6,Default,Deposit,8070.14,80.7014
CR_123,814,25000.0,24,Active,Car,17740.64,70.96256
CR_124,183,50000.0,6,Closed,Deposit,47342.71,94.68542
CR_125,288,50000.0,60,Closed,Real Estate,52577.12,105.15424
CR_126,742,500.0,60,Default,Real Estate,528.73,105.74600000000001
CR_127,490,1000.0,24,Default,Nothing,0.0,0.0
CR_128,913,10000.0,60,Closed,Car,14492.93,144.92929999999998
CR_129,927,25000.0,24,Default,Car,27922.91,111.69164
CR_130,467,5000.0,12,Default,Nothing,0.0,0.0
CR_131,690,500.0,24,Active,Car,490.02,98.00399999999999
CR_132,589,5000.0,24,Closed,Real Estate,3154.54,63.0908
CR_133,179,10000.0,6,Closed,Real Estate,11576.56,115.7656
CR_134,796,50000.0,12,Closed,Car,51226.02,102.45203999999998
CR_135,279,50000.0,36,Default,Real Estate,39637.58,79.27516
CR_136,614,15275.671406003159,24,Closed,Deposit,0.0,0.0
CR_137,951,500.0,36,Active,Deposit,729.07,145.814
CR_138,520,1000.0,60,Active,Nothing,0.0,0.0
CR_139,145,1000.0,36,Active,Deposit,744.19,74.419
CR_140,574,50000.0,6,Active,Nothing,0.0,0.0
CR_141,637,5000.0,24,Closed,Car,3392.66,67.8532
CR_142,307,500.0,12,Active,Car,474.67,94.93400000000001
CR_143,967,5000.0,12,Closed,Real Estate,6701.76,134.0352
CR_144,77,5000.0,6,Closed,Car,4860.67,97.21340000000001
CR_145,570,5000.0,24,Active,Car,5702.61,114.0522
CR_146,850,10000.0,6,Active,Deposit,9533.59,95.33590000000001
CR_147,803,5000.0,12,Closed,Nothing,0.0,0.0
CR_148,57,1000.0,36,Default,Real Estate,1377.09,137.709
CR_149,29,10000.0,36,Active,Real Estate,5464.84,54.648399999999995
CR_150,410,25000.0,60,Default,Nothing,0.0,0.0
CR_151,831,50000.0,12,Active,Real Estate,31443.1,62.886199999999995
CR_152,29,5000.0,24,Active,Car,5478.88,109.5776
CR_153,210,15275.671406003159,6,Default,Car,0.0,0.0
CR_154,109,500.0,36,Active,Nothing,0.0,0.0
CR_155,172,15275.671406003159,24,Default,Deposit,0.0,0.0
CR_156,359,1000.0,36,Active,Real Estate,657.77,65.777
CR_157,311,50000.0,12,Active,Real Estate,62520.37,125.04074
CR_158,27,1000.0,36,Closed,Nothing,0.0,0.0
CR_159,571,500.0,6,Default,Car,504.73,100.946
CR_160,450,10000.0,36,Closed,Real Estate,9195.5,91.955
CR_161,475,5000.0,12,Active,Car,6028.89,120.5778
CR_162,792,5000.0,24,Default,Nothing,0.0,0.0
CR_163,156,500.0,12,Closed,Nothing,0.0,0.0
CR_164,34,50000.0,12,Active,Deposit,50593.31,101.18662
CR_165,15,10000.0,12,Default,Real Estate,8977.7,89.777
CR_166,169,500.0,60,Active,Real Estate,470.54,94.108
CR_167,690,10000.0,60,Closed,Nothing,0.0,0.0
CR_168,559,500.0,6,Closed,Nothing,0.0,0.0
CR_169,358,5000.0,24,Active,Nothing,0.0,0.0
CR_170,216,50000.0,24,Active,Nothing,0.0,0.0
CR_171,966,15275.671406003159,6,Closed,Car,0.0,0.0
CR_172,716,25000.0,36,Active,Nothing,0.0,0.0
CR_173,151,5000.0,6,Active,Deposit,4300.02,86.00040000000001
CR_174,518,50000.0,60,Closed,Deposit,68313.84,136.62768
CR_175,815,1000.0,12,Default,Real Estate,1438.17,143.817
CR_176,432,5000.0,6,Closed,Nothing,0.0,0.0
CR_177,642,500.0,24,Closed,Deposit,531.75,106.35
CR_178,481,10000.0,12,Default,Nothing,0.0,0.0
CR_179,508,500.0,60,Active,Deposit,254.47,50.89399999999999
CR_180,464,10000.0,36,Active,Deposit,13260.35,132.6035
CR_181,372,1000.0,12,Closed,Nothing,0.0,0.0
CR_182,832,15275.671406003159,60,Closed,Car,0.0,0.0
CR_183,169,500.0,36,Active,Deposit,519.72,103.94400000000002
CR_184,722,25000.0,36,Default,Nothing,0.0,0.0
CR_185,441,50000.0,6,Default,Car,74066.97,148.13394
CR_186,650,50000.0,60,Closed,Nothing,0.0,0.0
CR_187,856,1000.0,60,Active,Deposit,1091.15,109.11500000000001
CR_188,946,500.0,24,Default,Deposit,568.74,113.748
CR_189,364,50000.0,36,Default,Real Estate,54918.54,109.83708000000001
CR_190,179,15275.671406003159,6,Closed,Nothing,0.0,0.0
CR_191,473,50000.0,24,Active,Car,72386.45,144.7729
CR_192,603,50000.0,36,Closed,Nothing,0.0,0.0
CR_193,991,25000.0,60,Default,Real Estate,29456.23,117.82492
CR_194,578,5000.0,36,Closed,Deposit,2535.36,50.70720000000001
CR_195,632,10000.0,60,Active,Car,9082.48,90.8248
CR_196,502,1000.0,6,Active,Real Estate,818.87,81.887
CR_197,221,25000.0,6,Active,Car,20006.97,80.02788000000001
CR_198,280,15275.671406003159,36,Active,Deposit,0.0,0.0
CR_199,101,10000.0,24,Default,Deposit,11521.7,115.21700000000001
CR_200,488,15275.671406003159,6,Closed,Nothing,0.0,0.0
CR_201,396,500.0,36,Active,Nothing,0.0,0.0
CR_202,492,15275.671406003159,24,Closed,Deposit,0.0,0.0
CR_203,809,25000.0,36,Default,Car,33210.36,132.84144
CR_204,835,50000.0,6,Active,Nothing,0.0,0.0
CR_205,672,15275.671406003159,36,Active,Deposit,0.0,0.0
CR_206,964,1000.0,36,Default,Nothing,0.0,0.0
CR_207,280,10000.0,60,Default,Deposit,7905.3,79.05300000000001
CR_208,653,15275.671406003159,60,Closed,Car,0.0,0.0
CR_209,232,5000.0,36,Default,Car,3429.04,68.5808
CR_210,151,500.0,24,Closed,Nothing,0.0,0.0
CR_211,400,500.0,6,Default,Car,639.51,127.902
CR_212,577,25000.0,12,Closed,Real Estate,23349.29,93.39716
CR_213,974,5000.0,12,Default,Deposit,6868.0,137.35999999999999
CR_214,509,500.0,60,Default,Nothing,0.0,0.0
CR_215,314,50000.0,12,Default,Real Estate,58570.46,117.14092000000001
CR_216,624,25000.0,36,Default,Deposit,32719.55,130.8782
CR_217,242,15275.671406003159,60,Active,Car,0.0,0.0
CR_218,261,500.0,12,Default,Deposit,356.67,71.334
CR_219,38,25000.0,12,Closed,Deposit,22776.17,91.10467999999999
CR_220,401,10000.0,24,Closed,Car,6660.03,66.6003
CR_221,474,10000.0,24,Active,Real Estate,6855.53,68.5553
CR_222,981,15275.671406003159,12,Default,Real Estate,0.0,0.0
CR_223,90,25000.0,60,Closed,Car,23829.92,95.31967999999999
CR_224,12,1000.0,24,Closed,Real Estate,1234.82,123.482
CR_225,296,1000.0,60,Default,Deposit,1153.44,115.34400000000001
CR_226,88,50000.0,12,Closed,Car,30114.82,60.229639999999996
CR_227,62,50000.0,12,Active,Car,33608.2,67.2164
CR_228,103,1000.0,12,Default,Deposit,1495.22,149.522
CR_229,114,15275.671406003159,60,Active,Nothing,0.0,0.0
CR_230,811,50000.0,24,Default,Nothing,0.0,0.0
CR_231,783,500.0,12,Default,Deposit,712.29,142.458
CR_232,566,15275.671406003159,36,Default,Deposit,0.0,0.0
CR_233,558,10000.0,60,Active,Car,12256.82,122.56819999999999
CR_234,203,10000.0,12,Closed,Car,6082.45,60.8245
CR_235,207,5000.0,36,Active,Deposit,6284.59,125.6918
CR_236,672,25000.0,6,Closed,Real Estate,13943.72,55.774879999999996
CR_237,355,50000.0,24,Closed,Real Estate,28766.81,57.533620000000006
CR_238,492,10000.0,24,Closed,Real Estate,14174.83,141.7483
CR_239,906,25000.0,12,Closed,Real Estate,36505.41,146.02164000000002
CR_240,795,15275.671406003159,60,Active,Real Estate,0.0,0.0
CR_241,857,10000.0,36,Default,Nothing,0.0,0.0
CR_242,734,15275.671406003159,6,Closed,Car,0.0,0.0
CR_243,710,500.0,24,Default,Deposit,531.88,106.376
CR_244,60,25000.0,12,Closed,Nothing,0.0,0.0
CR_245,136,500.0,60,Closed,Deposit,458.15,91.63
CR_246,952,1000.0,6,Active,Nothing,0.0,0.0
CR_247,925,10000.0,6,Default,Car,12461.24,124.61240000000001
CR_248,861,500.0,36,Default,Nothing,0.0,0.0
CR_249,18,500.0,60,Active,Nothing,0.0,0.0
CR_250,373,15275.671406003159,60,Default,Nothing,0.0,0.0
CR_251,109,5000.0,24,Closed,Car,2789.39,55.7878
CR_252,208,15275.671406003159,12,Active,Deposit,0.0,0.0
CR_253,989,50000.0,36,Active,Nothing,0.0,0.0
CR_254,549,500.0,36,Default,Car,426.09,85.21799999999999
CR_255,670,15275.671406003159,60,Default,Nothing,0.0,0.0
CR_256,528,25000.0,12,Closed,Car,25744.61,102.97844
CR_257,677,5000.0,60,Default,Deposit,7353.05,147.061
CR_258,624,25000.0,12,Closed,Real Estate,27522.98,110.09191999999999
CR_259,312,500.0,60,Active,Deposit,526.49,105.298
CR_260,962,50000.0,60,Active,Nothing,0.0,0.0
CR_261,886,50000.0,60,Closed,Deposit,62249.92,124.49984
CR_262,432,50000.0,12,Closed,Car,68195.39,136.39078
CR_263,815,15275.671406003159,60,Closed,Real Estate,0.0,0.0
CR_264,571,5000.0,6,Default,Nothing,0.0,0.0
CR_265,337,500.0,24,Closed,Car,680.62,136.124
CR_266,366,1000.0,24,Default,Deposit,784.64,78.464
CR_267,39,5000.0,36,Default,Deposit,7199.12,143.9824
CR_268,316,500.0,6,Closed,Real Estate,326.95,65.38999999999999
CR_269,77,5000.0,60,Active,Deposit,2919.46,58.389199999999995
CR_270,558,25000.0,36,Default,Real Estate,33644.82,134.57927999999998
CR_271,907,15275.671406003159,36,Default,Car,0.0,0.0
CR_272,885,15275.671406003159,6,Closed,Real Estate,0.0,0.0
CR_273,502,50000.0,12,Default,Nothing,0.0,0.0
CR_274,485,5000.0,36,Active,Deposit,2927.97,58.5594
CR_275,200,500.0,36,Default,Nothing,0.0,0.0
CR_276,139,500.0,24,Active,Car,250.6,50.12
CR_277,500,500.0,12,Default,Deposit,499.78,99.95599999999999
CR_278,415,15275.671406003159,6,Active,Deposit,0.0,0.0
CR_279,338,25000.0,60,Active,Car,34267.46,137.06984
CR_280,25,15275.671406003159,12,Closed,Real Estate,0.0,0.0
CR_281,10,500.0,60,Active,Real Estate,541.24,108.248
CR_282,304,5000.0,24,Default,Nothing,0.0,0.0
CR_283,855,50000.0,24,Default,Nothing,0.0,0.0
CR_284,717,1000.0,36,Active,Real Estate,995.35,99.53500000000001
CR_285,224,1000.0,36,Active,Car,1378.83,137.883
CR_286,335,15275.671406003159,6,Default,Car,0.0,0.0
CR_287,950,15275.671406003159,36,Closed,Real Estate,0.0,0.0
CR_288,997,1000.0,60,Default,Real Estate,1329.12,132.91199999999998
CR_289,53,15275.671406003159,60,Default,Car,0.0,0.0
CR_290,664,500.0,6,Active,Deposit,399.77,79.954
CR_291,331,500.0,36,Active,Car,531.72,106.34400000000002
CR_292,139,10000.0,12,Active,Deposit,11778.06,117.78059999999999
CR_293,915,15275.671406003159,36,Active,Nothing,0.0,0.0
CR_294,32,500.0,12,Active,Nothing,0.0,0.0
CR_295,358,50000.0,60,Closed,Deposit,31114.57,62.229139999999994
CR_296,795,10000.0,6,Default,Deposit,14342.97,143.4297
CR_297,354,50000.0,60,Default,Car,58170.91,116.34182000000001
CR_298,540,25000.0,12,Closed,Deposit,27418.76,109.67504
CR_299,394,25000.0,12,Active,Real Estate,23163.87,92.65548
CR_300,215,1000.0,24,Closed,Real Estate,953.86,95.38600000000001
CR_301,411,500.0,24,Active,Real Estate,465.65,93.13
CR_302,192,15275.671406003159,24,Active,Car,0.0,0.0
CR_303,819,5000.0,24,Closed,Deposit,5576.45,111.529
CR_304,353,500.0,24,Default,Nothing,0.0,0.0
CR_305,555,1000.0,36,Closed,Real Estate,1037.35,103.735
CR_306,865,10000.0,12,Active,Real Estate,11362.94,113.62940000000002
CR_307,821,10000.0,24,Closed,Real Estate,8684.22,86.84219999999999
CR_308,691,50000.0,24,Closed,Real Estate,30902.27,61.804539999999996
CR_309,46,5000.0,36,Active,Deposit,4076.98,81.53960000000001
CR_310,846,5000.0,24,Closed,Car,4106.94,82.13879999999999
CR_311,127,50000.0,12,Closed,Car,48870.61,97.74122000000001
CR_312,376,10000.0,36,Active,Real Estate,13528.72,135.28719999999998
CR_313,980,15275.671406003159,6,Closed,Deposit,0.0,0.0
CR_314,34,50000.0,36,Active,Real Estate,27416.68,54.83336
CR_315,519,50000.0,24,Active,Nothing,0.0,0.0
CR_316,325,25000.0,36,Closed,Deposit,19544.46,78.17784
CR_317,675,5000.0,36,Default,Real Estate,6822.24,136.4448
CR_318,972,1000.0,12,Closed,Real Estate,792.13,79.213
CR_319,21,15275.671406003159,6,Closed,Nothing,0.0,0.0
CR_320,43,15275.671406003159,36,Active,Car,0.0,0.0
CR_321,824,15275.671406003159,24,Closed,Real Estate,0.0,0.0
CR_322,168,500.0,6,Default,Real Estate,602.82,120.56400000000001
CR_323,186,5000.0,6,Closed,Deposit,5895.05,117.90100000000001
CR_324,992,500.0,60,Active,Nothing,0.0,0.0
CR_325,361,25000.0,36,Closed,Car,21166.64,84.66656
CR_326,46,5000.0,6,Default,Deposit,6699.31,133.9862
CR_327,759,25000.0,24,Default,Real Estate,23428.36,93.71344
CR_328,503,1000.0,12,Default,Nothing,0.0,0.0
CR_329,979,50000.0,6,Default,Real Estate,68835.71,137.67142
CR_330,192,5000.0,24,Active,Deposit,4767.76,95.35520000000001
CR_331,256,25000.0,36,Active,Nothing,0.0,0.0
CR_332,570,15275.671406003159,12,Closed,Real Estate,0.0,0.0
CR_333,30,5000.0,36,Active,Deposit,6187.45,123.749
CR_334,164,1000.0,12,Closed,Nothing,0.0,0.0
CR_335,777,5000.0,60,Active,Real Estate,4960.1,99.20200000000001
CR_336,971,15275.671406003159,6,Closed,Car,0.0,0.0
CR_337,597,1000.0,6,Active,Car,549.49,54.949000000000005
CR_338,363,5000.0,24,Default,Nothing,0.0,0.0
CR_339,108,500.0,60,Default,Car,487.13,97.426
CR_340,947,500.0,24,Closed,Deposit,660.12,132.024
CR_341,345,50000.0,6,Default,Real Estate,38998.36,77.99672
CR_342,280,500.0,60,Closed,Deposit,657.86,131.572
CR_343,60,5000.0,24,Default,Car,6396.79,127.9358
CR_344,122,500.0,24,Default,Car,363.77,72.75399999999999
CR_345,524,15275.671406003159,60,Default,Nothing,0.0,0.0
CR_346,749,5000.0,24,Closed,Car,4739.38,94.78760000000001
CR_347,883,10000.0,12,Default,Car,5164.62,51.6462
CR_348,703,10000.0,12,Closed,Real Estate,8971.35,89.7135
CR_349,351,500.0,6,Active,Real Estate,492.28,98.456
CR_350,579,500.0,6,Active,Nothing,0.0,0.0
CR_351,490,50000.0,12,Default,Deposit,58584.81,117.16962
CR_352,952,1000.0,12,Active,Deposit,1369.4,136.94000000000003
CR_353,47,15275.671406003159,6,Closed,Deposit,0.0,0.0
CR_354,965,10000.0,12,Default,Car,10888.0,108.88
CR_355,240,50000.0,24,Default,Real Estate,70899.76,141.79951999999997
CR_356,62,15275.671406003159,24,Closed,Real Estate,0.0,0.0
CR_357,196,5000.0,24,Closed,Car,6133.27,122.66540000000002
CR_358,128,500.0,6,Active,Deposit,670.82,134.16400000000002
CR_359,677,5000.0,12,Active,Deposit,4234.73,84.69459999999998
CR_360,119,500.0,24,Active,Nothing,0.0,0.0
CR_361,86,5000.0,6,Closed,Real Estate,6985.1,139.70200000000003
CR_362,805,50000.0,6,Closed,Car,57427.57,114.85513999999999
CR_363,551,50000.0,60,Default,Nothing,0.0,0.0
CR_364,54,10000.0,6,Active,Car,11536.83,115.3683
CR_365,869,500.0,36,Active,Nothing,0.0,0.0
CR_366,129,15275.671406003159,24,Default,Deposit,0.0,0.0
CR_367,512,1000.0,12,Closed,Deposit,1225.53,122.553
CR_368,226,50000.0,24,Closed,Car,42102.29,84.20458
CR_369,441,5000.0,12,Default,Real Estate,3501.86,70.0372
CR_370,7,10000.0,12,Default,Car,5636.73,56.3673
CR_371,350,1000.0,60,Closed,Nothing,0.0,0.0
CR_372,333,5000.0,36,Default,Car,5954.62,119.09239999999998
CR_373,682,50000.0,12,Default,Real Estate,69414.85,138.8297
CR_374,47,15275.671406003159,36,Closed,Car,0.0,0.0
CR_375,775,15275.671406003159,36,Default,Real Estate,0.0,0.0
CR_376,198,500.0,36,Active,Nothing,0.0,0.0
CR_377,55,25000.0,6,Closed,Car,31663.33,126.65332000000001
CR_378,924,5000.0,24,Active,Deposit,5932.31,118.64620000000001
CR_379,64,15275.671406003159,36,Default,Nothing,0.0,0.0
CR_380,933,5000.0,36,Default,Car,4889.71,97.7942
CR_381,84,25000.0,24,Default,Nothing,0.0,0.0
CR_382,472,25000.0,24,Closed,Nothing,0.0,0.0
CR_383,243,10000.0,24,Default,Nothing,0.0,0.0
CR_384,845,15275.671406003159,24,Default,Real Estate,0.0,0.0
CR_385,713,1000.0,36,Closed,Real Estate,621.64,62.163999999999994
CR_386,856,15275.671406003159,24,Closed,Nothing,0.0,0.0
CR_387,217,5000.0,24,Active,Car,6775.66,135.5132
CR_388,358,1000.0,6,Closed,Nothing,0.0,0.0
CR_389,525,15275.671406003159,36,Closed,Nothing,0.0,0.0
CR_390,100,10000.0,60,Active,Real Estate,11187.53,111.87530000000001
CR_391,42,50000.0,6,Closed,Car,60416.48,120.83296000000001
CR_392,343,10000.0,12,Closed,Deposit,6364.42,63.6442
CR_393,173,5000.0,36,Default,Deposit,5068.96,101.3792
CR_394,959,5000.0,24,Default,Real Estate,5484.48,109.68959999999998
CR_395,774,25000.0,6,Active,Deposit,36371.56,145.48623999999998
CR_396,743,50000.0,24,Closed,Car,47239.2,94.4784
CR_397,164,10000.0,36,Default,Nothing,0.0,0.0
CR_398,284,25000.0,6,Closed,Car,36135.18,144.54072
CR_399,715,1000.0,6,Default,Real Estate,556.34,55.63400000000001
CR_400,754,1000.0,60,Active,Deposit,1117.92,111.792
CR_401,748,10000.0,60,Closed,Deposit,13368.73,133.6873
CR_402,659,1000.0,36,Closed,Real Estate,1466.81,146.68099999999998
CR_403,624,10000.0,6,Closed,Nothing,0.0,0.0
CR_404,724,15275.671406003159,6,Active,Real Estate,0.0,0.0
CR_405,133,500.0,60,Active,Car,508.91,101.782
CR_406,546,5000.0,60,Active,Deposit,7331.3,146.626
CR_407,810,25000.0,24,Active,Deposit,18912.04,75.64816
CR_408,515,50000.0,12,Active,Car,56469.77,112.93954
CR_409,906,500.0,24,Closed,Real Estate,293.42,58.684000000000005
CR_410,232,15275.671406003159,60,Active,Nothing,0.0,0.0
CR_411,100,50000.0,6,Default,Deposit,61949.31,123.89862000000001
CR_412,541,15275.671406003159,36,Default,Car,0.0,0.0
CR_413,291,500.0,12,Active,Real Estate,508.87,101.77400000000002
CR_414,175,1000.0,12,Default,Nothing,0.0,0.0
CR_415,128,1000.0,60,Closed,Car,586.64,58.663999999999994
CR_416,322,50000.0,36,Default,Nothing,0.0,0.0
CR_417,891,50000.0,24,Default,Car,60816.43,121.63286
CR_418,215,1000.0,36,Default,Deposit,1014.86,101.486
CR_419,442,25000.0,12,Active,Real Estate,18464.5,73.858
CR_420,391,25000.0,60,Default,Nothing,0.0,0.0
CR_421,980,15275.671406003159,36,Default,Car,0.0,0.0
CR_422,682,10000.0,6,Closed,Nothing,0.0,0.0
CR_423,735,500.0,12,Default,Car,506.25,101.25
CR_424,118,10000.0,60,Active,Nothing,0.0,0.0
CR_425,373,15275.671406003159,6,Active,Deposit,0.0,0.0
CR_426,259,15275.671406003159,24,Active,Car,0.0,0.0
CR_427,120,10000.0,36,Active,Nothing,0.0,0.0
CR_428,661,500.0,24,Default,Car,509.22,101.844
CR_429,880,1000.0,12,Active,Real Estate,1478.58,147.858
CR_430,539,5000.0,60,Closed,Car,4359.38,87.1876
CR_431,992,10000.0,12,Default,Car,10845.25,108.4525
CR_432,199,50000.0,12,Default,Deposit,55286.41,110.57282000000002
CR_433,719,50000.0,6,Default,Real Estate,33812.82,67.62564
